Player,1st,2nd,3rd,Tot
LeBron James,13,3,3,19
Kareem Abdul-Jabbar,10,5,0,15
Kobe Bryant,11,2,2,15
Tim Duncan,10,3,2,15
Karl Malone,11,2,1,14
Shaquille O'Neal,8,2,4,14
Bob Cousy,10,2,0,12
Julius Erving,5,2,0,7
Dirk Nowitzki,4,5,3,12
Hakeem Olajuwon,6,3,3,12
Dolph Schayes,6,6,0,12
Jerry West,10,2,0,12
Charles Barkley,5,5,1,11
John Havlicek,4,7,0,11
Michael Jordan,10,1,0,11
Chris Paul,4,5,2,11
Bob Pettit,10,1,0,11
Oscar Robertson,9,2,0,11
Bill Russell,3,8,0,11
John Stockton,2,6,3,11
Rick Barry,5,1,0,6
Elgin Baylor,10,0,0,10
Larry Bird,9,1,0,10
Wilt Chamberlain,7,3,0,10
Kevin Durant,6,4,0,10
Magic Johnson,9,1,0,10
David Robinson,4,2,4,10
Stephen Curry,4,4,1,9
Kevin Garnett,4,3,2,9
George Gervin,5,2,0,7
Gary Payton,2,5,2,9
Russell Westbrook,2,5,2,9
Dwight Howard,5,1,2,8
Moses Malone,4,4,0,8
Dwyane Wade,2,3,3,8
Giannis Antetokounmpo,5,2,0,7
Patrick Ewing,1,6,0,7
Hal Greer,0,7,0,7
James Harden,6,0,1,7
Allen Iverson,3,3,1,7
Damian Lillard,1,4,2,7
Tracy McGrady,2,3,2,7
Steve Nash,3,2,2,7
Scottie Pippen,3,2,2,7
Bill Sharman,4,3,0,7
Dominique Wilkins,1,4,2,7
Carmelo Anthony,0,2,4,6
Walt Frazier,4,2,0,6
Paul George,1,0,5,6
Elvin Hayes,3,3,0,6
Jason Kidd,5,1,0,6
George Mikan,6,0,0,6
LaMarcus Aldridge,0,2,3,5
Tiny Archibald,3,2,0,5
Jimmy Butler,0,1,4,5
Billy Cunningham,3,1,0,4
Mel Daniels,0,0,0,0
Bob Davies,4,1,0,5
Clyde Drexler,1,2,2,5
Joel Embiid,1,4,0,5
Artis Gilmore,0,0,0,0
Blake Griffin,0,3,2,5
Tim Hardaway,1,3,1,5
Spencer Haywood,2,2,0,4
Grant Hill,1,4,0,5
Dan Issel,0,0,0,0
Kevin Johnson,0,4,1,5
