,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Kelenna Azubuike,2006-07,23.0,['GSW' 'DAL'],NBA,SG,81.0,51.0,32.1,5.3,11.4,0.545,1.3,3.0,0.448,4.2,8.6,0.623,0.602,2.5,3.1,0.808,1.5,3.5,5.0,1.6,0.8,1.0,1.3,2.5,14.4,0,33.0,15.0,7.0,4.0,4.0,31.8,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/azubuke01.jpg,0,0,0,,,
0,Willie Allen,1971-72,22.0,['FLO'],ABA,PF,7.0,,4.3,0.6,1.9,0.308,0.0,0.0,,0.6,1.9,0.308,0.308,0.7,0.9,0.833,0.6,1.4,2.0,0.6,,,0.9,1.6,1.9,0,4.0,4.0,3.0,,,,['MIAMIFL'],,0,0,0,9,1971,
0,Hassan Adams,2006-07,22.0,['NJN' 'TOR'],NBA,SG,61.0,8.0,8.1,1.2,2.2,0.556,0.0,0.0,0.0,1.2,2.2,0.56,0.556,0.4,0.6,0.667,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0.8,2.9,0,16.0,8.0,3.0,3.0,1.0,13.5,['ARIZONA'],,0,0,0,24,2006,
0,Rafael Addison,1986-87,22.0,['PHO' 'NJN' 'DET' 'CHH'],NBA,SF,79.0,16.0,22.5,3.5,7.4,0.476,0.3,1.1,0.4,3.2,6.4,0.507,0.497,0.9,1.3,0.814,0.9,2.2,3.1,1.4,0.7,0.4,1.0,3.0,8.3,0,25.0,11.0,8.0,4.0,3.0,22.0,['SYRACUSE'],,0,0,0,15,1986,
0,Chuck Aleksinas,1984-85,25.0,['GSW'],NBA,C,74.0,4.0,15.1,2.2,4.6,0.478,0.0,0.0,0.0,2.2,4.5,0.479,0.478,0.7,1.0,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1,0,15.0,12.0,3.0,2.0,2.0,15.4,['KENTUCKY' 'UCONN'],,0,0,0,7,1982,
0,Ömer Aşık,2008-09,22.0,['CHI' 'HOU' 'NOP' 'TOT'],Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),82.0,82.0,30.0,4.0,7.5,0.553,0.0,0.0,0.0,4.0,7.5,0.553,0.553,2.0,3.6,0.619,3.4,8.3,11.7,0.9,0.6,1.1,2.1,2.7,10.1,1,24.0,23.0,4.0,4.0,5.0,23.8,,https://www.basketball-reference.com/req/202106291/images/headshots/asikom01.jpg,0,0,0,6,2008,
0,Josh Akognon,2012-13,26.0,['DAL'],NBA,PG,3.0,0.0,3.0,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,0,3.0,1.0,1.0,,,1.6,['WASHST' 'CALSTFULL'],https://www.basketball-reference.com/req/202106291/images/headshots/akognjo01.jpg,0,0,0,,,
0,Andy Anderson,1967-68,22.0,['OAK' 'TOT' 'MMF' 'LAS'],ABA,PG,81.0,,31.3,6.0,13.8,0.556,0.1,0.6,0.205,5.9,13.6,0.556,0.556,2.9,3.6,0.8,2.2,1.8,4.1,2.6,,,1.8,2.5,14.3,1,33.0,7.0,6.0,,,,['CANISIUS'],,0,0,0,9,1967,
0,Pero Antić,2013-14,31.0,['ATL'],NBA,C,63.0,26.0,18.5,2.5,5.9,0.418,1.1,3.4,0.327,1.3,2.5,0.545,0.514,1.4,2.0,0.758,1.1,3.0,4.2,1.2,0.4,0.2,1.1,2.5,7.0,0,22.0,12.0,7.0,4.0,3.0,17.9,,https://www.basketball-reference.com/req/202106291/images/headshots/anticpe01.jpg,0,0,0,,,
0,Stacey Augmon,1991-92,23.0,['ATL' 'TOT' 'DET' 'POR' 'CHH' 'NOH' 'ORL'],NBA,SG,82.0,82.0,31.8,5.4,11.5,0.517,0.1,0.3,0.269,5.4,11.2,0.517,0.517,4.1,5.3,0.792,2.3,2.8,5.1,2.6,1.8,0.6,2.2,2.4,14.8,1,36.0,12.0,7.0,7.0,4.0,30.5,['UNLV'],,0,0,0,9,1991,
