,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Chucky Brown,1989-90,21.0,"['CLE' 'TOT' 'LAL' 'NJN' 'DAL' 'HOU' 'PHO' 'MIL' 'ATL' 'CHH' 'SAS' 'GSW'
 'SAC']",NBA,SF,82.0,82.0,24.8,3.7,7.8,1.0,0.3,0.8,0.375,3.6,6.9,1.0,1.0,1.7,2.2,1.0,1.6,3.7,5.4,1.4,0.6,0.5,1.3,2.6,8.6,1,30.0,14.0,6.0,4.0,3.0,26.0,['NCSTATE'],,0,1,0,16,1989,
0,Brad Branson,1981-82,23.0,['CLE' 'IND'],NBA,PF,62.0,3.0,17.6,2.1,5.2,0.425,0.0,0.0,0.0,2.1,5.2,0.427,0.425,1.2,1.7,0.917,1.4,1.9,3.3,0.7,0.5,0.4,1.3,1.7,5.5,0,30.0,11.0,4.0,3.0,3.0,23.2,['SMETHODIST'],,0,0,0,22,1980,
0,Ed Bartels,1949-50,24.0,['TOT' 'DNN' 'NYK' 'WSC'],NBA,,17.0,,,1.6,6.3,0.256,,,,,,,,1.4,2.7,0.667,,,4.9,1.5,,,,3.2,4.5,1,12.0,4.0,1.0,,,,,,0,0,0,,,
0,Harrison Barnes,2012-13,20.0,['GSW' 'DAL' 'TOT' 'SAC'],NBA,SF,82.0,82.0,36.2,7.6,16.2,0.497,2.5,6.3,0.408,6.6,13.4,0.567,0.575,4.4,5.4,0.861,1.4,5.5,6.6,3.5,0.8,0.3,1.6,2.1,19.2,1,36.0,15.0,8.0,4.0,2.0,33.2,['UNC'],https://www.basketball-reference.com/req/202106291/images/headshots/barneha02.jpg,0,1,0,7,2012,
0,Bob Brannum,1949-50,23.0,['SHE' 'BOS'],NBA,PF,71.0,,26.8,4.0,12.2,0.378,,,,,,,,4.2,6.0,0.709,,,7.6,3.5,,,,4.7,12.1,0,41.0,17.0,10.0,,,,,,0,0,0,,,
0,Leon Brown,1946-47,27.0,['CLR'],BAA,,5.0,,,0.0,0.6,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,0.4,0.0,0,,,,,,,,,0,0,0,,,
0,Marvin Bagley III,2018-19,19.0,['SAC' 'TOT' 'DET'],NBA,PF,62.0,42.0,27.2,6.2,12.8,0.555,0.9,2.5,0.343,5.7,11.2,0.624,0.575,2.9,4.2,0.806,2.6,5.2,7.6,1.1,0.7,1.0,1.6,3.3,14.9,1,32.0,18.0,4.0,3.0,5.0,30.4,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/baglema01.jpg,0,0,0,2,2018,
0,Mike Barrett,1969-70,26.0,['WSA' 'VIR' 'SDA'],ABA,SG,84.0,,32.8,5.7,13.4,0.464,0.7,2.1,0.344,5.1,11.3,0.486,0.478,2.8,3.6,0.761,1.7,1.9,3.5,5.1,,,3.0,2.9,14.9,0,41.0,9.0,14.0,,,,,,0,0,0,,,
0,Antonio Burks,2004-05,24.0,['MEM'],NBA,PG,57.0,1.0,10.0,1.2,2.5,0.467,0.1,0.5,0.273,1.0,2.4,0.51,0.492,0.6,0.8,0.737,0.1,0.6,0.6,1.3,0.5,0.0,0.6,1.0,3.0,0,18.0,4.0,6.0,3.0,1.0,12.6,['MEMPHIS'],,0,0,0,7,2004,
0,Tim Bassett,1973-74,22.0,['SDA' 'NYA' 'NYN' 'NJN' 'TOT' 'SAS'],ABA,PF,84.0,,32.1,3.9,9.7,0.471,0.0,0.1,0.75,3.9,9.7,0.471,0.474,1.3,2.3,0.679,3.1,6.1,8.4,2.0,1.3,0.7,1.3,3.2,9.0,1,24.0,24.0,6.0,4.0,3.0,16.0,['GEORGIA'],,0,1,0,3,1973,
