,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Anthony Cook,1990-91,23.0,['DEN' 'TOT' 'ORL' 'MIL' 'POR'],NBA,PF,58.0,25.0,19.3,2.0,4.9,0.6,0.0,0.2,0.0,2.0,4.8,0.6,0.6,1.2,2.2,0.667,2.3,3.3,5.6,0.4,0.6,1.2,0.9,1.7,5.3,1,14.0,18.0,2.0,4.0,5.0,13.8,['ARIZONA'],,0,0,0,24,1989,
0,Cade Cunningham,2021-22,20.0,['DET'],NBA,SG,64.0,64.0,33.3,7.8,18.7,0.416,1.8,5.7,0.314,6.3,13.6,0.472,0.471,3.0,3.6,0.845,1.0,5.2,6.2,6.0,1.2,0.7,3.7,3.1,19.9,0,35.0,12.0,11.0,4.0,4.0,30.8,['OKSTATE'],https://www.basketball-reference.com/req/202106291/images/headshots/cunnica01.jpg,0,0,0,1,2021,2.0
0,Terry Catledge,1985-86,22.0,['PHI' 'WSB' 'ORL'],NBA,PF,79.0,77.0,33.3,7.4,15.6,0.506,0.0,0.1,0.25,7.4,15.5,0.508,0.506,4.6,6.6,0.794,3.7,4.3,7.6,1.4,0.7,0.3,2.4,3.2,19.4,0,49.0,22.0,5.0,4.0,5.0,38.5,['SALABAMA'],,0,0,0,21,1985,
0,Bill Cartwright,1979-80,22.0,['NYK' 'CHI' 'SEA'],NBA,C,82.0,82.0,38.4,8.1,14.8,0.566,0.0,0.0,0.0,8.1,14.8,0.566,0.566,6.0,7.6,0.811,2.5,6.5,8.9,2.5,0.7,1.5,3.0,3.8,21.7,0,38.0,18.0,8.0,5.0,6.0,32.5,['SANFRAN'],https://www.basketball-reference.com/req/202106291/images/headshots/cartwbi01.jpg,1,3,0,3,1979,
0,Johnny Cox,1962-63,26.0,['CHZ'],NBA,SG,73.0,,23.1,3.3,7.8,0.421,,,,,,,,1.3,1.8,0.704,,,3.8,1.9,,,,2.0,7.8,0,29.0,10.0,5.0,,,,['KENTUCKY'],,0,0,0,4,1958,
0,Rodney Carney,2006-07,22.0,['PHI' 'MIN' 'TOT' 'GSW' 'MEM'],NBA,SF,70.0,35.0,17.9,2.7,6.3,0.464,1.2,3.4,0.459,2.3,4.8,0.5,0.509,0.8,1.3,0.825,0.7,1.6,2.1,0.5,0.7,0.4,0.6,1.8,7.2,1,25.0,9.0,5.0,3.0,3.0,21.1,['MEMPHIS'],https://www.basketball-reference.com/req/202106291/images/headshots/carnero01.jpg,0,0,0,16,2006,
0,Doug Collins,1973-74,22.0,['PHI'],NBA,SG,81.0,77.0,38.9,8.1,15.5,0.526,0.0,0.0,0.0,8.1,15.5,0.526,0.526,4.8,5.8,0.911,1.6,2.6,4.0,4.7,1.6,0.4,3.2,3.6,20.8,0,39.0,12.0,14.0,7.0,3.0,33.4,['ILLINOISST'],https://www.basketball-reference.com/req/202106291/images/headshots/collido01.jpg,4,0,0,1,1973,
0,Doug Christie,1992-93,22.0,['LAL' 'NYK' 'TOT' 'TOR' 'SAC' 'ORL' 'DAL' 'LAC'],NBA,SG,82.0,82.0,38.6,5.9,13.7,0.479,1.8,4.7,0.526,4.6,9.8,0.522,0.548,4.1,4.9,0.909,1.4,4.3,5.3,4.9,2.5,0.7,2.9,3.1,16.5,1,35.0,15.0,13.0,9.0,7.0,33.1,['PEPPERDINE'],https://www.basketball-reference.com/req/202106291/images/headshots/chrisdo01.jpg,0,0,0,17,1992,
0,Joe Caldwell,1964-65,23.0,['DET' 'TOT' 'STL' 'ATL' 'CAR' 'SSL'],NBA,SF,82.0,,41.8,9.5,21.2,0.507,0.1,0.4,0.429,9.4,20.8,0.507,0.507,4.6,7.5,0.717,3.0,3.8,6.8,5.1,2.2,0.4,3.5,3.4,23.3,1,56.0,18.0,13.0,10.0,1.0,,['ARIZONAST'],,4,0,0,2,1964,2.0
0,Harvey Catchings,1974-75,23.0,['PHI' 'TOT' 'NJN' 'MIL' 'LAC'],NBA,C,80.0,33.0,23.1,2.3,5.5,0.554,0.0,0.0,0.0,2.3,5.5,0.554,0.554,1.5,1.9,0.77,2.5,4.4,6.9,1.3,0.5,2.4,1.6,3.7,6.1,1,16.0,19.0,7.0,3.0,10.0,15.8,['HARDINSIMM'],,0,0,0,1,1973,
