,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles,College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year
0,Kevin Durant,2007-08,19.0,['SEA' 'OKC' 'GSW' 'BRK' 'TOT' 'PHO'],NBA,SG,82.0,82.0,39.5,10.5,20.8,0.57,2.8,6.7,0.537,8.7,16.1,0.622,0.656,9.2,10.2,0.934,1.3,7.6,8.3,6.4,1.4,1.8,3.8,2.4,32.0,1,55.0,18.0,16.0,5.0,7.0,44.3,17.0,['TEXAS'],https://www.basketball-reference.com/req/202106291/images/headshots/duranke01.jpg,13,2,1,2,2007
0,Adrian Dantley,1976-77,21.0,['BUF' 'TOT' 'IND' 'LAL' 'UTA' 'DET' 'DAL' 'MIL'],NBA,SF,81.0,81.0,42.7,11.4,20.3,0.58,0.1,0.3,0.333,11.3,20.3,0.58,0.58,10.3,12.0,0.86,4.1,5.3,9.4,4.8,2.1,0.7,3.7,3.3,30.7,1,57.0,19.0,11.0,7.0,4.0,48.6,1.0,['NOTREDAME'],https://www.basketball-reference.com/req/202106291/images/headshots/dantlad01.jpg,6,0,0,6,1976
0,Emanual Davis,1996-97,28.0,['HOU' 'SEA' 'ATL'],NBA,PG,62.0,39.0,27.6,2.5,7.1,0.444,1.0,3.0,0.444,1.5,4.0,0.514,0.556,0.7,0.9,0.889,0.7,2.0,2.6,2.4,1.0,0.2,1.9,2.4,6.6,0,19.0,7.0,8.0,4.0,3.0,21.3,,['DELAWAREST'],,0,0,0,,
0,Billy Donovan,1987-88,22.0,['NYK'],NBA,PG,44.0,0.0,8.3,1.0,2.5,0.404,0.0,0.2,0.0,1.0,2.3,0.431,0.404,0.4,0.5,0.81,0.1,0.5,0.6,2.0,0.4,0.0,1.0,0.8,2.4,0,14.0,3.0,7.0,2.0,1.0,9.4,,['PROVIDENCE'],,0,0,0,22,1987
0,Boris Diaw,2003-04,21.0,['ATL' 'PHO' 'TOT' 'CHA' 'SAS' 'UTA'],NBA,SG,82.0,82.0,37.6,6.2,12.6,0.588,1.2,2.8,0.615,5.4,10.2,0.591,0.647,2.1,2.9,0.774,2.0,4.9,6.9,6.2,0.9,1.0,3.0,3.2,15.1,1,31.0,16.0,16.0,4.0,7.0,30.3,6.0,,https://www.basketball-reference.com/req/202106291/images/headshots/diawbo01.jpg,0,1,0,21,2003
0,Brad Daugherty,1986-87,21.0,['CLE'],NBA,C,80.0,80.0,38.8,8.0,15.2,0.571,0.0,0.0,0.5,8.0,15.2,0.571,0.571,5.7,7.6,0.795,2.6,8.6,10.9,4.4,1.0,1.1,3.4,3.1,21.6,0,44.0,24.0,13.0,5.0,6.0,36.4,4.0,['UNC'],https://www.basketball-reference.com/req/202106291/images/headshots/daughbr01.jpg,5,0,0,1,1986
0,Andre Dawkins,2014-15,23.0,['MIA'],NBA,SG,4.0,0.0,5.5,0.3,1.5,0.167,0.3,1.5,0.167,0.0,0.0,,0.25,0.0,0.0,,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.8,0.8,0,3.0,1.0,1.0,,,1.9,,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/dawkian01.jpg,0,0,0,,
0,Billy DeAngelis,1970-71,24.0,['NYA'],ABA,,8.0,,5.9,0.4,0.8,0.5,0.0,0.0,,0.4,0.8,0.5,0.5,0.5,0.8,0.667,0.3,0.5,0.8,1.0,,,0.6,2.0,1.3,0,4.0,1.0,,,,,,,,0,0,0,,
0,Andrew DeClercq,1995-96,22.0,['GSW' 'BOS' 'TOT' 'CLE' 'ORL'],NBA,C,82.0,53.0,25.6,3.3,6.6,0.554,0.0,0.0,0.0,3.3,6.6,0.554,0.554,2.3,3.4,0.815,2.4,3.7,5.8,0.7,1.1,0.8,1.6,3.6,9.0,1,19.0,17.0,5.0,5.0,4.0,18.3,,['FLORIDA'],,0,0,0,5,1995
0,Craig Dill,1967-68,23.0,['PTP'],ABA,C,65.0,,20.8,2.9,7.5,0.383,0.0,0.0,0.0,2.9,7.5,0.386,0.383,1.1,1.6,0.67,,,5.8,0.5,,,1.0,2.5,6.8,0,24.0,19.0,1.0,,,,,['MICHIGAN'],,0,1,0,11,1967
0,Damyean Dotson,2017-18,23.0,['NYK' 'CLE'],NBA,SG,73.0,40.0,27.5,4.0,9.6,0.5,1.7,4.7,0.368,2.2,4.9,0.667,0.516,1.0,1.3,0.745,0.5,3.1,3.6,2.0,0.8,0.1,1.0,1.8,10.7,0,30.0,11.0,8.0,4.0,1.0,25.4,,['OREGON' 'HOUSTON'],https://www.basketball-reference.com/req/202106291/images/headshots/dotsoda01.jpg,0,0,0,14,2017
0,Donte DiVincenzo,2018-19,22.0,['MIL' 'TOT' 'SAC' 'GSW'],NBA,SG,72.0,66.0,27.5,3.8,9.1,0.455,2.1,5.8,0.397,2.3,4.0,0.683,0.574,1.9,2.2,0.852,1.2,4.5,5.8,3.6,1.5,0.3,1.8,1.8,10.4,1,24.0,15.0,11.0,5.0,2.0,26.9,,['VILLANOVA'],https://www.basketball-reference.com/req/202106291/images/headshots/divindo01.jpg,0,1,0,17,2018
0,Brandon Davies,2013-14,22.0,['PHI' 'TOT' 'BRK'],NBA,PF,51.0,6.0,19.0,2.5,6.0,0.422,0.4,1.5,0.25,2.1,4.5,0.472,0.441,1.1,1.7,0.75,1.8,1.9,3.7,1.4,0.9,0.4,1.3,2.7,6.3,1,20.0,8.0,4.0,3.0,1.0,15.8,,['BYU'],https://www.basketball-reference.com/req/202106291/images/headshots/daviebr01.jpg,0,0,0,,
0,Jimmy Dawson,1967-68,22.0,['INA'],ABA,PG,21.0,,13.7,2.2,6.3,0.346,0.0,0.3,0.143,2.1,6.0,0.357,0.35,1.2,2.0,0.581,,,1.0,1.5,,,0.8,0.8,5.6,0,17.0,6.0,2.0,,,,,,,0,0,0,2,1967
0,James Donaldson,1979-80,22.0,['SEA' 'SDC' 'LAC' 'TOT' 'DAL' 'NYK' 'UTA'],Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),83.0,82.0,36.9,4.4,7.5,0.637,0.0,0.0,,4.4,7.5,0.637,0.637,4.1,5.0,1.0,3.6,8.3,11.9,1.2,0.6,2.1,2.7,2.6,11.8,1,29.0,27.0,7.0,3.0,7.0,28.9,,['WASHST'],https://www.basketball-reference.com/req/202106291/images/headshots/donalja01.jpg,1,0,0,7,1979
0,Tim Duncan,1997-98,21.0,['SAS'],NBA,PF,82.0,82.0,40.6,9.3,18.3,0.549,0.1,0.3,0.4,9.3,18.2,0.553,0.549,6.8,8.5,0.817,3.5,9.7,12.9,3.9,0.9,2.9,3.4,3.1,25.5,0,53.0,27.0,11.0,8.0,9.0,44.7,4.0,['WAKE'],https://www.basketball-reference.com/req/202106291/images/headshots/duncati01.jpg,15,5,1,1,1997
0,Ralph Davis,1960-61,22.0,['CIN' 'CHP'],NBA,SG,77.0,,25.9,4.7,11.4,0.413,,,,,,,,0.9,1.3,0.689,,,2.1,3.2,,,,2.4,10.4,0,29.0,9.0,10.0,,,,,['CINCY'],,0,0,0,1,1960
0,Darryl Dawkins,1975-76,19.0,['PHI' 'NJN' 'TOT' 'UTA' 'DET'],NBA,C,81.0,81.0,31.8,6.3,11.8,0.644,0.0,0.1,0.4,6.2,11.8,0.645,0.644,4.2,5.8,0.735,2.5,6.5,8.7,1.9,0.8,1.9,3.5,4.8,16.8,1,36.0,19.0,7.0,5.0,13.0,33.2,,,https://www.basketball-reference.com/req/202106291/images/headshots/dawkida01.jpg,0,0,0,5,1975
0,Johnny Davis,1976-77,21.0,['POR' 'IND' 'ATL' 'CLE' 'TOT'],NBA,SG,82.0,72.0,37.6,7.2,15.7,0.467,0.2,0.6,0.5,7.2,15.7,0.477,0.469,4.0,5.0,0.864,1.2,1.7,2.8,6.3,1.3,0.3,2.7,2.4,18.3,1,35.0,8.0,17.0,6.0,2.0,30.0,,['DAYTON'],,0,1,0,5,1976
0,Charlie Davis,1971-72,22.0,['CLE' 'TOT' 'POR'],NBA,SG,75.0,,19.3,3.8,9.3,0.488,,,,,,,,2.3,2.8,0.84,0.3,1.1,1.6,2.5,0.3,0.0,,3.3,9.8,1,30.0,7.0,9.0,1.0,,,,['WAKE'],,0,0,0,1,1971
0,Bryce Drew,1998-99,24.0,['HOU' 'CHI' 'CHH' 'NOH'],NBA,PG,72.0,41.0,27.2,2.6,6.8,0.429,0.8,2.3,0.429,1.8,4.6,0.431,0.514,0.6,0.7,1.0,0.3,1.2,1.4,3.9,0.7,0.1,1.4,2.1,6.3,0,24.0,6.0,11.0,4.0,2.0,17.5,,['VALPO'],,0,0,0,16,1998
0,Jermareo Davidson,2007-08,23.0,['CHA' 'GSW'],NBA,SF,38.0,2.0,8.5,1.3,3.3,0.486,0.0,0.0,,1.3,3.3,0.486,0.486,0.6,1.2,0.643,0.7,1.7,2.4,0.3,0.2,0.4,0.4,1.2,3.2,0,11.0,10.0,3.0,2.0,2.0,8.7,,['ALABAMA'],,0,0,0,6,2007
0,Fred Diute,1954-55,26.0,['MLH'],NBA,SG,7.0,,10.3,0.3,3.0,0.095,,,,,,,,1.0,1.7,0.583,,,1.9,0.6,,,,1.7,1.6,0,4.0,,,,,,,['STBONNY'],,0,0,0,8,1951
0,Jeff Dowtin,2021-22,24.0,['TOT' 'GSW' 'MIL' 'ORL' 'TOR'],NBA,PG,25.0,0.0,19.3,1.3,4.8,0.5,0.3,1.8,0.313,1.0,3.0,0.6,0.5,0.5,0.5,1.0,1.8,1.5,2.8,1.8,1.3,0.3,1.0,0.8,3.3,1,10.0,6.0,4.0,3.0,1.0,10.8,,['RHODEISLE'],https://www.basketball-reference.com/req/202106291/images/headshots/dowtije01.jpg,0,0,0,,
0,Dwaine Dillard,1975-76,26.0,['UTS'],ABA,SF,3.0,,6.3,0.3,1.0,0.333,0.0,0.0,,0.3,1.0,0.333,0.333,0.7,0.7,1.0,0.7,2.3,3.0,0.7,0.7,0.7,1.7,2.3,1.3,0,2.0,8.0,2.0,,,,,,,0,0,0,9,1972
