,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Earl Evans,1979-80,24.0,['DET'],NBA,PF,36.0,,10.6,1.8,3.9,0.45,0.2,0.5,0.389,1.6,3.4,0.459,0.475,0.7,1.2,0.571,0.7,1.4,2.1,1.0,0.4,0.0,1.0,1.8,4.4,0,16.0,9.0,5.0,2.0,1.0,8.3,['USC' 'UNLV'],,0,0,0,5,1978,
0,Tyreke Evans,2009-10,20.0,['SAC' 'NOP' 'TOT' 'MEM' 'IND'],NBA,SG,79.0,76.0,37.2,7.4,16.4,0.478,2.2,5.5,0.438,6.9,14.2,0.508,0.523,4.8,6.5,0.796,1.1,4.4,5.3,6.6,1.5,0.5,3.2,2.8,20.1,1,41.0,13.0,16.0,6.0,3.0,37.5,['MEMPHIS'],https://www.basketball-reference.com/req/202106291/images/headshots/evansty01.jpg,0,0,0,4,2009,3.0
0,Khalid El-Amin,2000-01,21.0,['CHI'],NBA,PG,50.0,14.0,18.7,2.3,6.2,0.37,0.6,1.7,0.333,1.7,4.5,0.383,0.415,1.1,1.4,0.778,0.4,1.2,1.6,2.9,1.0,0.0,1.1,2.0,6.3,0,21.0,7.0,9.0,4.0,1.0,19.5,['UCONN'],,0,0,0,5,2000,
0,Ledell Eackles,1988-89,22.0,['WSB' 'MIA' 'WAS'],NBA,SG,80.0,26.0,24.1,5.5,12.1,0.468,1.0,2.3,0.439,5.4,11.3,0.481,0.499,3.4,4.3,0.881,1.3,2.1,2.7,2.3,0.7,0.1,1.8,2.2,13.5,0,40.0,9.0,9.0,3.0,3.0,30.8,['NORLEANS'],,0,0,0,11,1988,
0,Johnny Egan,1961-62,23.0,['DET' 'TOT' 'NYK' 'BAL' 'LAL' 'CLE' 'SDR' 'HOU'],NBA,PG,82.0,,35.4,5.5,12.0,0.488,,,,,,,,3.2,4.2,0.893,,,3.1,5.8,,,,3.2,14.1,1,35.0,10.0,14.0,,,,['PROVIDENCE'],,0,0,0,8,1961,
0,Roy Ebron,1973-74,22.0,['UTS'],ABA,C,40.0,,13.2,2.6,5.3,0.488,0.0,0.0,0.0,2.6,5.3,0.49,0.488,1.1,2.1,0.512,2.0,2.4,4.4,0.5,0.4,0.8,0.9,1.7,6.2,0,25.0,10.0,3.0,3.0,5.0,,['ULALA'],,0,0,0,14,1974,
0,Leroy Ellis,1962-63,22.0,['LAL' 'BAL' 'POR' 'TOT' 'PHI'],NBA,C,82.0,,36.3,6.6,14.8,0.475,,,,,,,,2.8,3.7,0.801,3.6,7.4,12.3,3.2,1.1,1.1,,3.5,15.9,1,36.0,26.0,10.0,5.0,5.0,,['STJOHNS'],,0,1,0,8,1962,1.0
0,Brian Evans,1996-97,23.0,['ORL' 'TOT' 'NJN' 'MIN'],NBA,SF,72.0,1.0,12.8,1.8,4.7,0.434,0.6,1.5,0.5,1.5,3.7,0.453,0.514,0.9,1.1,1.0,0.7,1.2,1.9,1.3,0.5,0.3,0.5,1.6,4.7,1,16.0,8.0,5.0,2.0,2.0,15.9,['INDIANA'],,0,0,0,27,1996,
0,Claude English,1970-71,24.0,['POR'],NBA,,18.0,,3.9,0.6,2.3,0.262,,,,,,,,0.3,0.4,0.714,,,1.1,0.3,,,,0.8,1.5,0,7.0,4.0,1.0,,,,['RHODEISLE'],,0,0,0,8,1970,
0,Wayne Embry,1958-59,21.0,['CIN' 'BOS' 'MIL'],NBA,C,80.0,,36.4,7.5,16.1,0.466,,,,,,,,4.7,6.9,0.69,,,13.0,2.4,,,,4.1,19.8,0,39.0,28.0,12.0,,,,['MIAMIOH'],https://www.basketball-reference.com/req/202106291/images/headshots/embrywa01.jpg,5,1,0,7,1958,1.0
