,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Rudy Fernández,2008-09,23.0,['POR' 'DEN'],NBA,SG,78.0,4.0,25.6,3.4,8.1,0.44,2.0,5.1,0.399,1.9,3.3,0.573,0.552,1.6,1.9,0.867,0.6,2.1,2.7,2.5,1.1,0.2,1.3,1.7,10.4,0,26.0,10.0,9.0,5.0,2.0,25.8,,https://www.basketball-reference.com/req/202106291/images/headshots/fernaru01.jpg,0,0,0,24,2007,
0,Jack Foley,1962-63,23.0,['TOT' 'BOS' 'NYK'],NBA,,11.0,,9.2,2.6,5.2,0.5,,,,,,,,1.2,1.6,1.0,,,1.5,0.8,,,,0.8,6.4,1,16.0,5.0,2.0,,,,['HOLYCROSS'],,0,0,0,9,1962,
0,Pat Frink,1968-69,23.0,['CIN'],NBA,SG,48.0,,7.6,1.0,3.1,0.34,,,,,,,,0.5,0.6,0.793,,,0.9,1.1,,,,1.1,2.6,0,17.0,8.0,6.0,,,,['COLORADO'],,0,0,0,5,1968,
0,Isaac Fontaine,2001-02,26.0,['MEM'],NBA,SG,6.0,0.0,12.5,0.5,2.3,0.214,0.2,0.8,0.2,0.3,1.5,0.222,0.25,0.7,1.0,0.667,0.0,0.8,0.8,0.7,0.0,0.0,0.7,1.0,1.8,0,8.0,2.0,2.0,,,6.2,['WASHST'],,0,0,0,,,
0,De'Aaron Fox,2017-18,20.0,['SAC'],NBA,PG,81.0,81.0,35.3,9.3,19.1,0.512,1.8,5.5,0.371,7.7,14.3,0.584,0.557,5.2,7.2,0.78,0.7,3.6,4.2,7.3,1.6,0.6,3.1,2.9,25.2,0,44.0,13.0,15.0,6.0,4.0,41.6,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/foxde01.jpg,1,0,0,5,2017,1.0
0,Harold Fox,1972-73,23.0,['BUF'],NBA,PG,10.0,,8.4,1.2,3.2,0.375,,,,,,,,0.7,0.8,0.875,,,0.8,1.0,,,,0.7,3.1,0,10.0,3.0,2.0,,,,['JACKSONVIL'],,0,0,0,2,1972,
0,T.J. Ford,2003-04,20.0,['MIL' 'TOR' 'IND' 'SAS'],NBA,PG,75.0,71.0,35.5,5.6,12.3,0.469,0.5,1.4,0.337,5.1,11.1,0.488,0.484,3.3,3.9,0.88,0.9,3.4,4.3,7.9,1.4,0.2,3.1,2.7,14.9,0,36.0,11.0,18.0,5.0,3.0,31.9,['TEXAS'],https://www.basketball-reference.com/req/202106291/images/headshots/fordtj01.jpg,0,0,0,8,2003,
0,Gary Forbes,2010-11,25.0,['DEN' 'TOR'],NBA,SF,63.0,11.0,14.9,2.3,5.6,0.454,0.6,1.7,0.349,1.7,3.9,0.488,0.489,1.4,1.9,0.725,0.6,1.6,2.1,1.1,0.5,0.1,1.1,1.2,6.6,0,23.0,13.0,5.0,4.0,1.0,18.4,['VIRGINIA' 'UMASS'],https://www.basketball-reference.com/req/202106291/images/headshots/forbega01.jpg,0,0,0,,,
0,Robert Franks,2020-21,24.0,['ORL'],NBA,PF,7.0,0.0,14.4,1.9,4.0,0.464,0.7,2.1,0.333,1.1,1.9,0.615,0.554,1.7,1.9,0.923,0.9,1.1,2.0,0.7,0.4,0.4,0.3,1.1,6.1,0,11.0,5.0,1.0,1.0,1.0,11.0,['WASHST'],https://www.basketball-reference.com/req/202106291/images/headshots/frankro01.jpg,0,0,0,,,
0,Noel Felix,2005-06,24.0,['SEA'],NBA,SF,12.0,0.0,6.8,0.5,2.1,0.24,0.1,0.3,0.333,0.4,1.8,0.227,0.26,0.4,0.7,0.625,0.3,0.8,1.1,0.2,0.2,0.3,0.7,1.1,1.5,0,4.0,6.0,1.0,1.0,1.0,4.4,['FRESNOST'],,0,0,0,,,
0,Anthony Frederick,1988-89,24.0,['IND' 'SAC' 'CHH'],NBA,SF,66.0,26.0,13.6,2.4,5.6,0.504,0.1,0.3,0.4,2.4,5.3,0.508,0.512,1.2,1.7,0.717,1.1,1.4,2.4,1.3,0.6,0.4,1.1,1.4,5.9,0,22.0,10.0,5.0,3.0,3.0,19.7,['PEPPERDINE'],,0,0,0,17,1986,
0,Bernie Fryer,1973-74,24.0,['POR' 'TOT' 'SSL' 'NOJ'],NBA,SG,80.0,,29.3,2.8,7.6,0.46,0.0,0.1,0.0,2.8,7.4,0.46,0.46,2.4,3.1,0.793,0.8,1.9,2.4,3.5,1.2,0.1,1.9,3.1,7.8,1,27.0,7.0,11.0,6.0,1.0,,['BYU'],,0,0,0,12,1972,
0,Alphonso Ford,1993-94,22.0,['SEA' 'PHI'],NBA,PG,6.0,0.0,19.6,1.8,7.8,0.538,0.2,1.8,1.0,1.8,6.0,0.5,0.577,0.2,0.4,0.5,1.6,2.4,4.0,1.8,0.3,0.0,1.6,1.0,3.8,0,8.0,6.0,3.0,1.0,,5.3,['MISSVALLEY'],,0,0,0,5,1993,
0,Derrick Favors,2010-11,19.0,['TOT' 'NJN' 'UTA' 'NOP' 'OKC'],NBA,PF,78.0,77.0,32.0,6.7,13.1,0.638,0.2,1.0,0.3,6.7,13.0,0.643,0.638,3.0,4.5,0.738,3.2,6.6,9.8,1.6,1.2,1.7,1.8,3.3,16.4,1,35.0,20.0,8.0,5.0,7.0,30.9,['GATECH'],https://www.basketball-reference.com/req/202106291/images/headshots/favorde01.jpg,0,0,0,3,2010,
0,Tony Farmer,1997-98,28.0,['CHH' 'GSW'],NBA,C,74.0,9.0,16.2,1.7,4.2,0.407,0.1,0.6,0.222,1.6,3.6,0.444,0.42,2.7,3.6,0.795,1.6,2.4,4.0,1.0,0.9,0.2,1.1,2.3,6.3,0,19.0,15.0,4.0,6.0,4.0,21.5,['SANJOSEST' 'NEBRASKA'],,0,0,0,,,
0,Jeff Foster,1999-00,23.0,['IND'],NBA,C,82.0,79.0,26.1,2.8,5.3,0.565,0.1,0.2,1.0,2.8,5.2,0.591,0.565,1.5,2.5,0.68,3.6,5.7,9.1,1.8,0.9,0.7,1.2,3.1,7.0,0,19.0,18.0,5.0,4.0,4.0,24.9,['SWTEXAS'],https://www.basketball-reference.com/req/202106291/images/headshots/fosteje01.jpg,0,0,0,21,1999,
0,Herm Fuetsch,1947-48,29.0,['BLB'],BAA,,42.0,,,1.0,3.3,0.3,,,,,,,,0.6,1.0,0.625,,,,0.4,,,,0.9,2.6,0,10.0,,1.0,,,,,,0,1,0,,,
0,Desmon Farmer,2006-07,25.0,['SEA' 'SAS'],NBA,SG,8.0,0.0,18.0,1.3,4.7,0.333,1.0,4.0,0.25,0.4,0.9,0.5,0.4,0.7,0.7,1.0,0.0,2.0,2.0,1.1,0.1,0.0,1.3,2.0,4.3,0,8.0,5.0,4.0,1.0,,6.0,['USC'],,0,0,0,,,
0,George Feigenbaum,1949-50,21.0,['BLB' 'MLH'],NBA,,12.0,,15.8,1.2,4.8,0.246,,,,,,,,1.6,3.0,0.533,,,1.4,1.8,,,,2.8,3.2,0,10.0,4.0,4.0,,,,,,0,0,0,,,
0,Terry Furlow,1976-77,22.0,['PHI' 'CLE' 'TOT' 'ATL' 'UTA'],NBA,SG,78.0,,31.2,6.6,13.9,0.483,0.4,1.3,0.315,6.2,12.6,0.493,0.491,2.3,2.6,0.889,1.1,1.9,2.8,4.0,1.0,0.4,2.3,1.6,16.0,1,37.0,8.0,10.0,6.0,3.0,29.2,['MICHIGANST'],,0,0,0,12,1976,
0,Jamaal Franklin,2013-14,22.0,['MEM' 'DEN'],NBA,SG,21.0,0.0,7.7,0.8,1.9,0.5,0.3,0.7,0.5,0.5,1.3,0.393,0.75,0.1,0.1,1.0,0.3,0.9,1.1,1.0,0.2,0.3,1.0,1.3,1.9,0,8.0,4.0,2.0,2.0,1.0,5.2,['SANDIEGOST'],https://www.basketball-reference.com/req/202106291/images/headshots/frankja01.jpg,0,0,0,11,2013,
0,Enes Freedom,2011-12,19.0,['UTA' 'TOT' 'OKC' 'NYK' 'POR' 'BOS'],NBA,C,82.0,74.0,31.1,7.5,13.3,0.604,0.3,0.8,1.0,7.4,13.2,0.607,0.605,3.5,4.5,0.857,5.0,7.1,11.0,1.9,0.6,0.7,2.0,2.9,18.7,1,33.0,30.0,7.0,4.0,6.0,34.3,,https://www.basketball-reference.com/req/202106291/images/headshots/kanteen01.jpg,0,0,0,3,2011,
0,Jeff Foote,2011-12,24.0,['NOH'],NBA,C,4.0,0.0,9.8,0.5,1.5,0.333,0.0,0.0,,0.5,1.5,0.333,0.333,0.0,0.0,,0.3,1.3,1.5,0.0,0.0,0.3,0.5,1.3,1.0,0,4.0,4.0,,,1.0,3.1,['CORNELL'],https://www.basketball-reference.com/req/202106291/images/headshots/footeje01.jpg,0,0,0,,,
0,Trent Forrest,2020-21,22.0,['UTA' 'ATL'],NBA,PG,60.0,6.0,12.8,1.3,2.6,0.49,0.2,0.9,0.192,1.2,2.5,0.6,0.506,0.6,0.8,1.0,0.4,1.4,1.7,1.8,0.5,0.1,0.8,0.7,3.3,0,18.0,6.0,8.0,4.0,2.0,20.7,['FLORIDAST'],https://www.basketball-reference.com/req/202106291/images/headshots/forretr01.jpg,0,0,0,,,
