,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles,College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year
0,Shai Gilgeous-Alexander,2018-19,20.0,['LAC' 'OKC'],NBA,PG,82.0,73.0,35.5,10.4,20.3,0.51,2.0,5.3,0.418,9.5,17.8,0.547,0.571,9.8,10.9,0.905,0.9,5.2,5.9,5.9,1.6,1.0,3.0,2.8,31.4,0,44.0,20.0,14.0,5.0,4.0,41.7,2.0,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/gilgesh01.jpg,1,0,0,11,2018
0,Bill Gabor,1949-50,27.0,['SYR'],NBA,SG,69.0,,19.9,4.2,12.2,0.37,,,,,,,,3.1,4.1,0.776,,,2.5,3.7,,,,3.8,11.3,0,32.0,8.0,8.0,,,,,['SYRACUSE'],,1,0,0,,1948
0,Rubén Garcés,2000-01,27.0,['TOT' 'PHO' 'GSW'],NBA,PF,13.0,0.0,6.2,0.7,2.3,0.467,0.0,0.0,,0.7,2.3,0.467,0.467,0.2,0.8,0.25,1.3,1.0,2.3,0.4,0.3,0.3,0.5,1.4,1.6,1,6.0,11.0,1.0,1.0,1.0,4.6,,['PROVIDENCE'],,0,0,0,,
0,A.J. Guyton,2000-01,22.0,['CHI' 'GSW'],NBA,PG,45.0,8.0,19.1,2.4,5.8,0.406,1.0,2.7,0.391,1.5,3.7,0.415,0.477,0.5,0.6,0.833,0.3,0.8,1.1,1.9,0.5,0.2,0.8,1.1,6.0,0,24.0,5.0,7.0,2.0,2.0,20.7,,['INDIANA'],,0,0,0,3,2000
0,Chuck Gardner,1967-68,23.0,['DNR'],ABA,PF,42.0,,11.6,1.7,4.2,0.406,0.0,0.1,0.0,1.7,4.1,0.415,0.406,1.3,1.9,0.696,,,3.2,0.3,,,1.2,1.8,4.7,0,19.0,8.0,,,,,,['COLORADO'],,0,0,0,3,1966
0,Glen Gondrezick,1977-78,22.0,['NYK' 'DEN'],NBA,SF,80.0,2.0,21.4,3.1,6.2,0.517,0.0,0.1,0.333,3.1,6.2,0.521,0.521,2.0,2.7,0.818,2.0,3.7,5.7,1.9,1.3,0.5,1.3,3.0,8.3,0,27.0,16.0,8.0,6.0,3.0,32.7,,['UNLV'],,0,0,0,4,1977
0,Brian Grant,1994-95,22.0,['SAC' 'POR' 'MIA' 'LAL' 'PHO'],NBA,PF,82.0,82.0,33.8,5.9,12.3,0.511,0.1,0.2,0.5,5.9,12.3,0.513,0.511,3.8,4.7,0.875,3.6,7.3,10.2,1.9,0.8,1.5,2.4,3.7,15.2,0,34.0,24.0,7.0,5.0,6.0,36.6,,['XAVIER'],https://www.basketball-reference.com/req/202106291/images/headshots/grantbr01.jpg,0,0,0,8,1994
0,Steve Goodrich,2000-01,24.0,['CHI' 'NJN'],NBA,PF,12.0,0.0,11.1,0.6,1.5,0.389,0.1,0.3,0.333,0.5,1.3,0.4,0.417,0.3,0.6,0.571,0.6,1.2,1.8,0.6,0.2,0.2,0.7,1.2,1.6,0,4.0,7.0,4.0,1.0,2.0,5.3,,['PRINCETON'],,0,0,0,,
0,Si Green,1956-57,23.0,['ROC' 'TOT' 'CIN' 'STL' 'CHP' 'CHZ' 'BAL' 'BOS'],NBA,SG,76.0,,37.1,5.3,14.1,0.415,,,,,,,,3.8,5.3,0.8,,,7.0,5.8,,,,3.8,13.8,1,29.0,21.0,19.0,,,,2.0,['DUQUESNE'],,0,0,0,1,1956
0,Anthony Goldwire,1995-96,24.0,['CHH' 'TOT' 'DEN' 'SAS' 'WAS' 'MIN' 'NJN' 'DET' 'MIL' 'LAC'],NBA,PG,82.0,32.0,27.0,3.3,7.8,0.571,1.2,3.0,1.0,2.5,5.8,0.5,0.643,1.8,2.3,1.0,0.5,1.8,2.1,4.6,1.0,0.1,1.5,1.9,9.2,1,22.0,9.0,15.0,4.0,1.0,24.8,,['HOUSTON'],,0,0,0,25,1994
