,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Keith Herron,1978-79,22.0,['ATL' 'DET' 'CLE'],NBA,SG,80.0,0.0,28.4,5.4,11.9,0.453,0.0,0.1,0.182,5.4,11.8,0.456,0.454,2.9,3.3,0.923,1.2,1.4,2.6,1.9,1.1,0.3,1.9,1.9,13.7,0,29.0,7.0,4.0,4.0,2.0,19.9,['VILLANOVA'],,0,0,0,2,1978,
0,Tom Henderson,1974-75,23.0,['ATL' 'TOT' 'WSB' 'HOU'],NBA,PG,87.0,23.0,35.8,5.8,14.0,0.477,0.0,0.0,0.0,5.8,14.0,0.48,0.477,2.7,3.8,0.821,0.9,2.6,3.3,8.4,1.7,0.2,2.6,2.4,14.2,1,33.0,13.0,17.0,6.0,3.0,22.5,['HAWAII'],https://www.basketball-reference.com/req/202106291/images/headshots/hendeto01.jpg,0,1,0,7,1974,
0,Josh Huestis,2015-16,24.0,['OKC'],NBA,PF,69.0,10.0,15.5,3.0,5.5,0.545,1.0,2.0,0.667,2.0,3.5,0.571,0.636,0.1,0.8,0.3,2.0,2.5,4.5,1.5,0.2,1.5,0.6,1.2,7.0,0,9.0,9.0,2.0,2.0,3.0,8.7,['STANFORD'],https://www.basketball-reference.com/req/202106291/images/headshots/huestjo01.jpg,0,0,0,29,2014,
0,Adam Harrington,2002-03,22.0,['TOT' 'DAL' 'DEN'],NBA,SG,19.0,0.0,12.3,1.2,3.3,0.35,0.7,1.8,0.364,0.5,1.5,0.333,0.45,0.2,0.3,1.0,0.2,0.8,1.0,1.7,0.2,0.1,0.2,1.0,3.2,1,9.0,3.0,3.0,1.0,1.0,5.4,['NCSTATE' 'AUBURN'],,0,0,0,,,
0,Dale Hamilton,1949-50,30.0,['WAT'],NBA,,14.0,,,0.6,2.4,0.242,,,,,,,,0.6,1.4,0.474,,,,1.2,,,,2.1,1.8,0,6.0,,2.0,,,,,,0,0,0,,,
0,Kirk Hinrich,2003-04,23.0,['CHI' 'TOT' 'WAS' 'ATL'],NBA,PG,81.0,81.0,36.5,5.9,14.6,0.452,1.9,5.3,0.421,4.2,9.3,0.475,0.519,3.2,3.9,0.938,0.6,3.5,3.9,6.8,1.6,0.4,2.7,3.6,16.6,1,38.0,13.0,17.0,7.0,4.0,34.8,['KANSAS'],https://www.basketball-reference.com/req/202106291/images/headshots/hinriki01.jpg,0,0,0,7,2003,2.0
0,Jrue Holiday,2009-10,19.0,['PHI' 'NOP' 'MIL'],NBA,PG,82.0,82.0,37.5,8.2,17.3,0.503,2.4,6.1,0.411,6.4,13.3,0.561,0.57,3.1,4.0,0.859,1.3,3.9,5.1,8.0,1.6,0.8,3.7,2.8,21.2,0,51.0,13.0,17.0,7.0,6.0,41.7,['UCLA'],https://www.basketball-reference.com/req/202106291/images/headshots/holidjr01.jpg,2,1,0,17,2009,4.0
0,Dave Henderson,1987-88,23.0,['PHI'],NBA,SG,22.0,1.0,16.0,2.1,5.3,0.405,0.0,0.0,0.0,2.1,5.2,0.409,0.405,1.5,2.1,0.681,0.5,1.1,1.6,1.5,0.5,0.2,1.8,1.9,5.7,0,15.0,5.0,5.0,2.0,4.0,11.1,['DUKE'],,0,0,0,11,1986,
0,Reggie Hanson,1997-98,29.0,['BOS'],NBA,SF,8.0,0.0,3.3,0.4,0.8,0.5,0.0,0.0,,0.4,0.8,0.5,0.5,0.0,0.0,,0.4,0.4,0.8,0.1,0.3,0.1,0.4,1.0,0.8,0,4.0,3.0,1.0,1.0,1.0,1.8,['KENTUCKY'],,0,0,0,,,
0,Scott Haskin,1993-94,23.0,['IND'],NBA,C,27.0,2.0,6.9,0.8,1.7,0.467,0.0,0.0,,0.8,1.7,0.467,0.467,0.5,0.7,0.684,0.6,1.4,2.0,0.2,0.1,0.6,0.5,1.2,2.0,0,8.0,7.0,2.0,2.0,4.0,10.3,['OREGONST'],,0,0,0,14,1993,
