,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Mike Iuzzolino,1991-92,24.0,['DAL'],NBA,PG,70.0,23.0,25.3,3.2,6.8,0.462,1.1,2.6,0.434,2.4,4.8,0.5,0.534,2.1,2.5,0.836,0.5,1.6,2.0,4.7,0.7,0.1,1.8,1.5,9.3,0,23.0,7.0,13.0,4.0,1.0,22.8,['PENNST' 'STFRANPA'],,0,0,0,8,1991,
0,Zydrunas Ilgauskas,1996-97,21.0,['CLE' 'MIA'],Did Not Play (injury—foot),Did Not Play (injury—foot),82.0,81.0,34.2,6.1,13.9,0.518,0.2,0.6,0.478,6.1,13.8,0.519,0.519,5.2,6.4,0.834,3.8,5.7,9.3,1.6,0.8,2.5,2.6,4.8,17.2,0,35.0,22.0,7.0,5.0,7.0,30.6,,https://www.basketball-reference.com/req/202106291/images/headshots/ilgauzy01.jpg,2,0,0,20,1996,
0,Andre Ingram,2017-18,32.0,['LAL'],NBA,SG,4.0,0.0,32.0,4.0,8.5,0.471,2.5,4.5,0.556,1.5,4.0,0.375,0.618,1.5,1.5,1.0,0.5,2.5,3.0,3.5,1.5,1.5,1.5,1.5,12.0,0,19.0,3.0,6.0,2.0,3.0,18.7,['AMERICAN'],https://www.basketball-reference.com/req/202106291/images/headshots/ingraan01.jpg,0,0,0,,,
0,George Irvine,1970-71,22.0,['VIR' 'DNA'],ABA,SF,79.0,,26.3,5.4,10.2,0.557,0.2,0.6,0.351,5.3,9.8,0.574,0.564,2.4,2.8,0.87,1.4,2.4,3.7,1.9,0.5,0.2,1.7,3.4,13.1,0,33.0,11.0,6.0,1.0,2.0,,['WASHINGTON'],,0,0,0,6,1970,
0,Elvin Ivory,1968-69,20.0,['LAS'],ABA,,20.0,,9.4,1.9,4.4,0.437,0.1,0.2,0.25,1.9,4.2,0.446,0.443,0.6,0.9,0.647,1.7,1.6,3.3,0.5,,,0.7,1.9,4.4,0,16.0,5.0,1.0,,,,,,0,0,0,,,
0,Serge Ibaka,2008-09,19.0,['OKC' 'TOT' 'ORL' 'TOR' 'LAC' 'MIL'],Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),82.0,81.0,33.1,6.5,12.6,0.573,1.8,4.5,0.5,6.2,11.3,0.612,0.586,1.9,2.5,0.882,2.9,6.1,8.8,1.8,0.6,3.7,2.0,3.3,15.4,1,34.0,22.0,6.0,3.0,11.0,33.1,,https://www.basketball-reference.com/req/202106291/images/headshots/ibakase01.jpg,0,1,0,24,2008,1.0
0,Byron Irvin,1989-90,23.0,['POR' 'WSB'],NBA,SG,50.0,4.0,11.3,2.3,4.5,0.5,0.3,0.3,1.0,2.0,4.3,0.481,0.528,1.5,1.8,0.82,0.7,0.9,1.5,0.9,0.6,0.1,1.0,1.3,5.5,0,23.0,8.0,6.0,2.0,2.0,20.3,['ARKANSAS' 'MISSOURI'],,0,0,0,22,1989,
0,Tom Ingelsby,1973-74,22.0,['ATL' 'SSL' 'SDS'],NBA,PG,48.0,,15.6,2.0,4.1,0.489,0.0,0.2,0.2,2.0,3.9,0.506,0.494,0.9,1.2,1.0,1.0,1.3,2.3,1.7,0.6,0.1,0.8,0.9,5.0,0,27.0,6.0,5.0,3.0,1.0,0.0,['VILLANOVA'],,0,0,0,9,1973,
0,Damien Inglis,2015-16,20.0,['MIL'],NBA,SF,20.0,1.0,7.8,0.7,1.9,0.351,0.2,0.7,0.231,0.5,1.2,0.417,0.392,0.4,0.4,0.875,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,1.8,0,10.0,5.0,2.0,1.0,3.0,12.7,,https://www.basketball-reference.com/req/202106291/images/headshots/inglida01.jpg,0,0,0,1,2014,
0,McCoy Ingram,1957-58,26.0,['MNL'],NBA,PF,24.0,,11.1,1.1,4.3,0.262,,,,,,,,0.5,1.2,0.464,,,4.8,0.8,,,,1.8,2.8,0,11.0,12.0,2.0,,,,,,0,0,0,,,
