,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Amile Jefferson,2018-19,25.0,['ORL'],NBA,PF,18.0,0.0,5.7,0.8,1.3,0.625,0.0,0.0,,0.8,1.3,0.625,0.625,0.6,0.8,0.875,0.6,1.3,1.8,0.3,0.3,0.3,0.2,0.7,2.3,0,6.0,7.0,2.0,1.0,1.0,7.6,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/jeffeam01.jpg,0,0,0,,,
0,Bobby Jones,1974-75,23.0,['DNA' 'DEN' 'PHI'],ABA,PF,84.0,73.0,34.3,6.3,10.7,0.604,0.0,0.1,0.0,6.3,10.7,0.605,0.604,3.5,4.4,0.861,2.9,6.6,9.5,4.0,2.3,2.2,2.8,3.1,15.1,0,33.0,20.0,9.0,7.0,8.0,33.1,['UNC'],https://www.basketball-reference.com/req/202106291/images/headshots/jonesbo01.jpg,5,1,0,5,1974,
0,Noble Jorgensen,1946-47,21.0,['PIT' 'SHE' 'TOT' 'TRI' 'SYR'],BAA,C,70.0,,20.0,4.0,11.4,0.413,,,,,,,,5.0,6.5,0.797,,,5.5,1.7,,,,4.2,13.0,1,35.0,9.0,6.0,,,,,,0,0,0,,,
0,Kai Jones,2021-22,21.0,['CHO'],NBA,C,46.0,0.0,12.0,1.5,2.6,0.643,0.1,0.4,0.5,1.4,2.2,0.667,0.679,0.4,0.6,0.731,0.8,1.9,2.7,0.3,0.4,0.7,0.7,1.4,3.4,0,12.0,14.0,2.0,2.0,3.0,13.2,['TEXAS'],https://www.basketball-reference.com/req/202106291/images/headshots/joneska01.jpg,0,0,0,19,2021,
0,Nate Johnston,1989-90,23.0,['TOT' 'UTA' 'POR'],NBA,"PF,SF",21.0,0.0,4.9,0.9,2.5,0.378,0.2,0.2,1.0,0.9,2.3,0.412,0.409,0.5,0.7,1.0,0.7,0.7,1.4,0.1,0.2,0.5,0.3,0.7,2.3,1,8.0,5.0,1.0,1.0,2.0,7.8,['TAMPA'],,0,0,0,9,1988,
0,Damion James,2010-11,23.0,['NJN' 'BRK' 'SAS'],NBA,SF,25.0,9.0,24.3,1.9,5.0,0.447,0.0,0.4,0.0,1.9,4.9,0.46,0.447,1.1,1.7,1.0,1.0,3.7,4.7,0.8,1.0,1.0,1.7,2.4,4.9,0,15.0,14.0,3.0,3.0,3.0,15.8,['TEXAS'],https://www.basketball-reference.com/req/202106291/images/headshots/jamesda01.jpg,0,1,0,24,2010,
0,Earl Jones,1984-85,24.0,['LAL' 'MIL'],NBA,C,12.0,0.0,3.6,0.4,1.0,0.417,0.0,0.0,,0.4,1.0,0.417,0.417,0.3,0.3,0.75,0.3,0.5,0.8,0.3,0.0,0.1,0.6,1.1,1.1,0,4.0,4.0,1.0,,1.0,2.3,['UDC'],,0,0,0,23,1984,
0,Fred Jacobs,1946-47,24.0,['STB'],BAA,,18.0,,,1.1,3.8,0.275,,,,,,,,0.7,1.4,0.48,,,,0.3,,,,1.4,2.8,0,10.0,,,,,,,,0,0,0,,,
0,Othyus Jeffers,2009-10,24.0,['UTA' 'TOT' 'SAS' 'WAS' 'MIN'],NBA,SG,17.0,1.0,19.6,1.9,3.9,0.6,0.1,0.5,0.25,1.8,3.6,0.75,0.6,1.9,2.9,1.0,1.6,2.5,4.1,1.2,1.1,0.0,1.0,1.9,5.7,1,15.0,11.0,4.0,3.0,,17.0,['ILLCHICAGO' 'ROBMORIL'],https://www.basketball-reference.com/req/202106291/images/headshots/jeffeot01.jpg,0,0,0,,,
0,Alize Johnson,2018-19,22.0,['IND' 'BRK' 'TOT' 'CHI' 'WAS' 'NOP' 'SAS'],NBA,PF,23.0,1.0,10.5,2.2,3.8,0.588,0.2,0.7,0.5,2.2,3.4,0.75,0.596,0.8,1.0,1.0,1.8,3.5,5.0,0.8,0.5,0.3,1.0,0.9,5.2,1,23.0,21.0,4.0,3.0,2.0,26.1,,https://www.basketball-reference.com/req/202106291/images/headshots/johnsal02.jpg,0,0,0,20,2018,
0,Tim James,1999-00,23.0,['MIA' 'CHH' 'PHI'],NBA,SF,30.0,0.0,6.6,1.3,3.5,0.385,0.0,0.1,0.333,1.3,3.5,0.385,0.385,0.4,0.8,0.857,0.8,0.7,1.2,0.5,0.1,0.8,0.5,0.9,2.8,0,7.0,4.0,2.0,1.0,2.0,4.9,['MIAMIFL'],,0,0,0,25,1999,
0,Mickey Johnson,1974-75,22.0,['CHI' 'IND' 'MIL' 'TOT' 'NJN' 'GSW'],NBA,PF,82.0,71.0,35.4,7.2,15.5,0.491,0.1,0.6,0.233,7.1,15.1,0.495,0.492,4.7,5.9,0.83,3.7,6.6,10.2,4.6,1.9,1.4,3.8,4.4,19.1,1,41.0,22.0,15.0,5.0,5.0,35.8,['AURORA'],https://www.basketball-reference.com/req/202106291/images/headshots/johnsmi01.jpg,0,0,0,2,1974,8.0
0,DeQuan Jones,2012-13,22.0,['ORL'],NBA,SF,63.0,17.0,12.7,1.5,3.5,0.436,0.1,0.6,0.257,1.4,2.9,0.47,0.456,0.5,0.8,0.667,0.3,1.4,1.7,0.3,0.3,0.3,0.5,0.9,3.7,0,13.0,6.0,2.0,3.0,2.0,12.7,['MIAMIFL'],https://www.basketball-reference.com/req/202106291/images/headshots/jonesde01.jpg,0,0,0,,,
0,Johnny Juzang,2022-23,21.0,['UTA'],NBA,SG,18.0,0.0,12.9,1.9,5.8,0.337,0.8,3.5,0.238,1.1,2.3,0.488,0.409,0.1,0.2,0.5,0.4,1.7,2.2,0.4,0.2,0.2,0.2,0.7,4.8,0,11.0,5.0,2.0,1.0,1.0,9.3,['KENTUCKY' 'UCLA'],https://www.basketball-reference.com/req/202106291/images/headshots/juzanjo01.jpg,0,0,0,,,
0,Phil Jordon,1956-57,23.0,['NYK' 'TOT' 'DET' 'CIN' 'STL'],NBA,,79.0,,29.8,5.5,13.6,0.471,,,,,,,,3.2,4.5,0.833,,,8.8,2.8,,,,4.0,14.3,1,33.0,21.0,9.0,,,,,,0,0,0,3,1956,
0,Herbert Jones,2021-22,23.0,['NOP'],NBA,PF,78.0,69.0,29.9,3.6,7.6,0.476,0.8,2.5,0.337,2.8,5.2,0.536,0.525,1.9,2.4,0.84,1.5,2.6,4.1,2.5,1.7,0.8,1.3,3.2,9.8,0,35.0,11.0,8.0,6.0,3.0,28.6,['ALABAMA'],https://www.basketball-reference.com/req/202106291/images/headshots/joneshe01.jpg,0,0,0,5,2021,
