,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,"Career high, Blocks",Triple-Doubles
0,D.J. Kennedy,2011-12,22.0,['CLE'],NBA,SF,2.0,0.0,29.5,2.5,6.0,0.417,1.0,2.0,0.5,1.5,4.0,0.375,0.5,0.0,1.0,0.0,0.5,3.0,3.5,1.5,1.0,0.0,1.5,3.5,6.0,0,12.0,6.0,3.0,2.0,9.9,['STJOHNS'],https://www.basketball-reference.com/req/202106291/images/headshots/kennedj01.jpg,0,0,0,,,,
0,Red Klotz,1947-48,27.0,['BLB'],BAA,,11.0,,,0.6,2.8,0.226,,,,,,,,0.1,0.3,0.333,,,,0.6,,,,0.3,1.4,0,4.0,,1.0,,,,,0,1,0,,,,
0,Jason Kidd,1994-95,21.0,['DAL' 'TOT' 'PHO' 'NJN' 'NYK'],NBA,PG,82.0,82.0,41.2,6.4,16.0,0.444,2.2,5.4,0.461,5.3,11.5,0.461,0.554,4.3,5.2,0.87,2.5,6.9,8.2,10.8,2.4,0.5,4.0,2.6,18.7,1,43.0,19.0,25.0,7.0,36.9,['CALIFORNIA'],https://www.basketball-reference.com/req/202106291/images/headshots/kiddja01.jpg,10,1,1,2,1994,4.0,107.0
0,Jon Koncak,1985-86,22.0,['ATL' 'ORL'],NBA,C,82.0,78.0,25.3,3.2,6.3,0.614,0.2,0.6,0.375,3.2,6.3,0.619,0.614,1.9,3.1,0.667,2.1,4.7,6.8,1.8,1.0,1.5,1.4,3.6,8.3,0,25.0,20.0,7.0,5.0,27.1,['SMETHODIST'],,0,0,0,5,1985,6.0,
0,Ralph Kaplowitz,1946-47,27.0,['TOT' 'NYK' 'PHW'],BAA,,57.0,,,2.6,10.1,0.291,,,,,,,,2.0,2.7,0.783,,,,0.9,,,,2.2,7.2,1,18.0,,3.0,,,,,0,1,0,,,,
0,Frank Kaminsky,2015-16,22.0,['CHO' 'PHO' 'TOT' 'ATL' 'HOU'],NBA,C,81.0,16.0,26.1,4.3,10.7,0.568,1.5,4.7,0.478,3.4,6.0,0.667,0.693,2.0,2.5,1.0,1.2,3.7,4.6,2.2,0.9,0.8,1.0,1.9,11.7,1,31.0,13.0,8.0,4.0,27.1,['WISCONSIN'],https://www.basketball-reference.com/req/202106291/images/headshots/kaminfr01.jpg,0,0,0,9,2015,3.0,
0,Frank Kudelka,1949-50,24.0,['CHS' 'TOT' 'WSC' 'BOS' 'BLB' 'PHW'],NBA,,65.0,,24.4,3.6,10.5,0.36,,,,,,,,3.0,4.0,0.767,,,4.2,2.8,,,,4.3,9.3,1,23.0,6.0,7.0,,,['STMARYSCA'],,0,0,0,,,,
0,Jerry Kelly,1946-47,28.0,['BOS' 'PRO'],BAA,,43.0,,,2.1,7.3,0.3,,,,,,,,1.7,2.6,0.667,,,,0.5,,,,3.0,6.0,0,21.0,,,,,,,0,0,0,,,,
0,Clarence Kea,1980-81,21.0,['DAL'],NBA,PF,35.0,0.0,12.4,2.3,5.1,0.531,0.0,0.1,0.0,2.3,5.0,0.531,0.531,2.7,3.9,0.694,1.8,2.4,4.2,0.4,0.4,0.1,1.0,2.8,7.3,0,22.0,13.0,3.0,1.0,10.1,['LAMAR'],,0,0,0,9,1980,1.0,
0,Greg Kite,1983-84,22.0,['BOS' 'TOT' 'LAC' 'CHH' 'SAC' 'ORL' 'NYK' 'IND'],NBA,C,82.0,82.0,27.1,2.1,4.6,0.533,0.0,0.0,1.0,2.1,4.5,0.533,0.533,1.0,1.8,0.688,2.3,4.9,7.2,1.1,0.4,1.3,1.6,3.6,5.1,1,16.0,16.0,6.0,5.0,18.9,['BYU'],,0,2,0,21,1983,5.0,
0,Lonnie Kluttz,1970-71,25.0,['CAR'],ABA,,3.0,,2.7,0.0,1.3,0.0,0.0,0.0,,0.0,1.3,0.0,0.0,0.0,0.0,,0.7,1.0,1.7,0.0,,,0.0,1.0,0.0,0,,4.0,,,,,,0,0,0,11,1970,,
0,Bud Koper,1964-65,22.0,['SFW'],NBA,SG,54.0,,11.7,2.0,4.5,0.44,,,,,,,,0.6,0.8,0.833,,,1.1,0.8,,,,1.1,4.6,0,16.0,5.0,3.0,,,['OKCITY'],,0,0,0,7,1964,,
0,Milo Komenich,1949-50,29.0,['AND'],NBA,,64.0,,,3.8,13.5,0.283,,,,,,,,2.3,3.9,0.584,,,,1.9,,,,3.8,9.9,0,23.0,,4.0,,,,,0,0,0,,,,
0,Linas Kleiza,2005-06,21.0,['DEN' 'TOR'],NBA,PF,82.0,23.0,26.5,4.6,10.4,0.472,1.3,3.7,0.376,3.6,7.1,0.568,0.543,2.1,2.7,0.852,1.2,3.6,4.5,1.2,0.6,0.2,1.7,2.5,11.2,0,41.0,12.0,4.0,3.0,33.4,['MISSOURI'],https://www.basketball-reference.com/req/202106291/images/headshots/kleizli01.jpg,0,0,0,27,2005,3.0,
