,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Art Long,2000-01,28.0,['SAC' 'SEA' 'TOT' 'PHI' 'TOR'],NBA,PF,63.0,27.0,15.7,1.9,3.9,0.492,0.1,0.3,1.0,1.9,3.9,0.492,0.492,0.7,1.3,0.529,1.7,2.3,4.0,0.7,0.4,0.4,1.6,2.9,4.5,1,13.0,12.0,2.0,4.0,2.0,11.5,['CINCY'],,0,0,0,,,
0,Voshon Lenard,1995-96,22.0,['MIA' 'DEN' 'TOR' 'TOT' 'POR'],NBA,SG,81.0,81.0,32.4,5.4,12.8,0.459,2.5,6.1,0.414,3.9,8.8,0.541,0.593,2.5,3.1,0.819,0.9,2.7,3.6,2.6,0.9,0.4,1.6,2.7,14.3,1,38.0,12.0,8.0,5.0,5.0,29.6,['MINNESOTA'],https://www.basketball-reference.com/req/202106291/images/headshots/lenarvo01.jpg,0,0,0,19,1994,
0,Jim Loscutoff,1955-56,25.0,['BOS'],NBA,SF,79.0,,31.7,4.4,12.7,0.375,,,,,,,,2.0,2.9,0.738,,,10.4,1.3,,,,4.3,10.6,0,26.0,26.0,7.0,,,,['OREGON'],,0,7,0,4,1955,
0,Didi Louzada,2020-21,21.0,['NOP' 'TOT' 'POR'],NBA,SF,9.0,1.0,18.7,1.7,4.3,0.4,1.3,2.9,0.45,0.4,1.7,0.3,0.55,0.3,0.3,1.0,1.0,1.7,2.1,1.0,0.7,0.3,1.0,1.9,5.0,1,11.0,4.0,2.0,2.0,1.0,8.0,,https://www.basketball-reference.com/req/202106291/images/headshots/louzama01.jpg,0,0,0,5,2019,
0,Jeff Lebo,1989-90,23.0,['SAS'],NBA,SG,4.0,0.0,8.0,0.5,1.8,0.286,0.0,0.0,,0.5,1.8,0.286,0.286,0.5,0.5,1.0,0.5,0.5,1.0,0.8,0.5,0.0,0.3,1.8,1.5,0,4.0,2.0,2.0,1.0,,3.4,['UNC'],,0,0,0,,,
0,Marcus Liberty,1990-91,22.0,['DEN' 'TOT' 'DET'],NBA,SF,78.0,32.0,20.4,3.7,8.3,0.571,0.3,0.8,0.373,3.4,7.6,0.667,0.571,1.7,2.4,0.728,1.9,2.6,4.3,1.3,0.9,0.4,1.2,2.2,9.3,1,25.0,13.0,7.0,5.0,2.0,23.5,['ILLINOIS'],,0,0,0,15,1990,
0,Jon Leuer,2011-12,22.0,['MIL' 'TOT' 'CLE' 'MEM' 'PHO' 'DET'],NBA,PF,75.0,34.0,25.9,4.1,8.6,0.625,0.7,2.2,0.469,3.5,6.4,0.637,0.625,1.6,1.9,0.867,1.4,4.4,5.6,1.5,0.6,0.4,1.1,2.0,10.2,1,24.0,14.0,6.0,3.0,3.0,22.8,['WISCONSIN'],https://www.basketball-reference.com/req/202106291/images/headshots/leuerjo01.jpg,0,0,0,10,2011,
0,Tyler Lydon,2017-18,21.0,['DEN'],NBA,PF,25.0,0.0,3.8,0.4,0.7,0.5,0.2,0.4,0.4,0.2,0.3,0.625,0.611,0.0,0.1,0.333,0.3,0.4,0.7,0.2,0.1,0.0,0.2,0.4,0.9,0,6.0,3.0,1.0,1.0,,5.0,['SYRACUSE'],https://www.basketball-reference.com/req/202106291/images/headshots/lydonty01.jpg,0,0,0,24,2017,
0,Jim Lampley,1986-87,26.0,['PHI'],NBA,C,1.0,0.0,16.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,2.0,0.5,1.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,3.0,0,3.0,5.0,,1.0,,2.8,['VANDY' 'ARKANSASLR'],,0,0,0,9,1983,
0,Edmund Lawrence,1980-81,28.0,['DET'],NBA,C,3.0,,6.3,1.7,2.7,0.625,0.0,0.0,,1.7,2.7,0.625,0.625,0.7,1.3,0.5,0.7,0.7,1.3,0.3,0.3,0.0,0.3,2.0,4.0,0,6.0,3.0,1.0,1.0,,4.8,['MCNEESE'],,0,0,0,16,1976,
0,Kyle Lowry,2006-07,20.0,['MEM' 'TOT' 'HOU' 'TOR' 'MIA'],NBA,PG,82.0,79.0,37.4,7.1,15.6,0.475,3.2,8.0,0.412,4.3,9.3,0.539,0.569,5.2,6.4,0.893,1.3,4.7,5.6,8.7,2.1,0.5,3.1,3.4,22.4,1,43.0,14.0,19.0,7.0,4.0,41.6,['VILLANOVA'],https://www.basketball-reference.com/req/202106291/images/headshots/lowryky01.jpg,6,1,0,24,2006,21.0
0,Vic Law,2019-20,24.0,['ORL'],NBA,PF,8.0,0.0,7.8,0.8,2.3,0.333,0.1,0.9,0.143,0.6,1.4,0.455,0.361,0.3,0.8,0.333,0.3,1.1,1.4,0.4,0.3,0.0,0.3,0.8,1.9,0,10.0,4.0,1.0,1.0,,5.3,['NWESTERN'],https://www.basketball-reference.com/req/202106291/images/headshots/lawvi01.jpg,0,0,0,,,
0,Kenneth Lofton Jr.,2022-23,20.0,['MEM'],NBA,PF,24.0,1.0,7.3,2.0,3.9,0.527,0.3,0.7,0.353,1.8,3.2,0.566,0.559,0.7,1.1,0.593,0.8,1.3,2.1,0.8,0.2,0.1,0.5,1.2,5.0,0,42.0,14.0,3.0,2.0,1.0,34.1,['LATECH'],https://www.basketball-reference.com/req/202106291/images/headshots/loftoke01.jpg,0,0,0,,,
0,Grady Lewis,1946-47,29.0,['DTF' 'TOT' 'STB' 'BLB'],BAA,,60.0,,,2.6,9.9,0.387,,,,,,,,2.0,3.0,0.667,,,,1.3,,,,3.5,7.1,1,25.0,,2.0,,,,,,0,1,0,,,
0,Earl Lloyd,1950-51,22.0,['WSC' 'SYR' 'DET'],NBA,SF,72.0,,30.7,4.0,10.9,0.457,,,,,,,,2.6,3.6,0.846,,,7.7,2.1,,,,4.2,10.2,0,24.0,19.0,8.0,,,,,,0,1,0,5,1950,
0,Jeremy Lamb,2012-13,20.0,['OKC' 'CHO' 'IND' 'TOT' 'SAC'],NBA,SF,80.0,55.0,28.5,5.5,12.4,0.46,1.5,4.2,0.406,4.0,8.2,0.536,0.529,2.9,3.3,1.0,0.8,4.7,5.5,2.3,1.2,0.6,1.2,2.3,15.3,1,32.0,17.0,7.0,6.0,3.0,28.7,['UCONN'],https://www.basketball-reference.com/req/202106291/images/headshots/lambje01.jpg,0,0,0,12,2012,
0,Reggie Lacefield,1968-69,23.0,['KEN'],ABA,,8.0,,6.0,1.4,2.8,0.5,0.0,0.1,0.0,1.4,2.6,0.524,0.5,0.3,0.5,0.5,0.5,0.9,1.4,0.0,,,0.4,1.1,3.0,0,8.0,3.0,,,,,['WMICHIGAN'],,0,0,0,8,1968,
0,Bob Lochmueller,1952-53,25.0,['SYR'],NBA,SF,62.0,,12.9,1.3,4.0,0.322,,,,,,,,1.2,2.0,0.607,,,2.6,0.8,,,,2.3,3.7,0,17.0,12.0,2.0,,,,['LOUISVILLE'],,0,0,0,8,1952,
0,Bobby Lloyd,1967-68,22.0,['NJA' 'NYA'],ABA,PG,67.0,,20.3,3.2,8.1,0.421,0.2,0.5,0.387,3.0,7.6,0.422,0.426,3.3,3.7,0.886,0.4,1.3,1.9,2.0,,,1.4,2.6,9.9,0,29.0,7.0,8.0,,,,['RUTGERS'],,0,0,0,2,1967,
0,T.J. Leaf,2017-18,20.0,['IND' 'POR'],NBA,PF,58.0,1.0,9.0,1.7,3.2,0.541,0.3,0.8,0.429,1.6,2.6,0.599,0.563,0.3,0.6,1.0,0.8,1.7,2.5,0.4,0.4,0.3,0.3,0.8,3.9,0,28.0,15.0,2.0,2.0,2.0,28.1,['UCLA'],https://www.basketball-reference.com/req/202106291/images/headshots/leaftj01.jpg,0,0,0,18,2017,
0,Kevon Looney,2015-16,19.0,['GSW'],NBA,PF,82.0,80.0,23.9,3.0,4.7,0.63,0.2,0.7,0.5,3.0,4.7,0.641,0.643,1.1,1.9,0.75,3.3,5.9,9.3,2.5,0.6,0.8,0.8,2.7,7.0,0,18.0,20.0,9.0,5.0,6.0,24.3,['UCLA'],https://www.basketball-reference.com/req/202106291/images/headshots/looneke01.jpg,0,3,0,30,2015,
0,Pete Lalich,1946-47,26.0,['CLR'],BAA,,1.0,,,0.0,1.0,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,1.0,0.0,0,,,,,,,,,0,0,0,,,
0,Rich Laurel,1977-78,23.0,['MIL'],NBA,SG,10.0,,5.7,1.0,3.1,0.323,,,,,,,,0.4,0.4,1.0,0.6,0.4,1.0,0.3,0.3,0.1,0.4,1.0,2.4,0,8.0,4.0,1.0,1.0,1.0,-1.1,['HOFSTRA'],,0,0,0,19,1977,
0,Andrew Levane,1948-49,28.0,['ROC' 'SYR' 'MLH'],BAA,,60.0,,9.7,2.3,7.0,0.333,,,,,,,,0.9,1.4,0.667,,,1.3,2.6,,,,2.1,5.5,0,21.0,,3.0,,,,,,0,0,0,,,
0,Shaun Livingston,2004-05,19.0,['LAC' 'TOT' 'MIA' 'OKC' 'WAS' 'CHA' 'MIL' 'CLE' 'BRK' 'GSW'],NBA,PG,78.0,54.0,29.8,3.9,8.3,0.547,0.1,0.3,0.667,3.8,8.0,0.55,0.549,2.1,2.5,1.0,1.0,2.9,3.4,5.1,1.2,0.6,2.5,2.7,9.3,1,25.0,11.0,14.0,7.0,4.0,23.9,,https://www.basketball-reference.com/req/202106291/images/headshots/livinsh01.jpg,0,3,0,4,2004,
0,Doug Lee,1991-92,27.0,['NJN' 'SAC'],NBA,SG,46.0,0.0,6.7,1.1,2.5,0.431,0.3,0.8,0.389,0.9,1.7,0.506,0.5,0.8,1.0,0.857,0.4,0.4,0.8,1.0,0.3,0.2,0.6,1.4,2.6,0,10.0,7.0,4.0,2.0,2.0,10.9,['TEXASAM' 'PURDUE'],,0,0,0,12,1987,
