,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Kyle Macy,1980-81,23.0,['PHO' 'CHI' 'IND'],NBA,PG,82.0,79.0,34.7,5.9,11.5,0.517,0.7,1.7,0.411,5.5,10.3,0.547,0.535,2.0,2.2,0.907,1.0,2.2,3.2,5.8,1.7,0.1,1.7,2.5,14.2,0,31.0,10.0,15.0,5.0,2.0,29.9,['PURDUE' 'KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/macyky01.jpg,0,0,0,22,1979,
0,Mark McNamara,1982-83,23.0,['PHI' 'SAS' 'TOT' 'KCK' 'LAL' 'ORL'],NBA,C,70.0,18.0,14.8,2.2,3.6,0.667,0.0,0.0,,2.2,3.6,0.667,0.667,1.3,2.2,0.727,2.0,2.6,4.5,0.4,0.2,0.3,1.3,2.0,5.5,1,22.0,22.0,2.0,2.0,2.0,22.3,['SANTACLARA' 'CALIFORNIA'],,0,1,0,22,1982,
0,J.P. Macura,2018-19,23.0,['CHO' 'CLE'],NBA,SG,2.0,0.0,8.5,1.5,4.5,0.333,0.0,2.0,0.0,1.5,2.5,0.6,0.333,0.0,0.0,,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,3.0,0,4.0,2.0,2.0,,,2.0,['XAVIER'],https://www.basketball-reference.com/req/202106291/images/headshots/macurjp01.jpg,0,0,0,,,
0,Dean Meminger,1971-72,23.0,['NYK' 'ATL'],NBA,SG,80.0,,27.2,3.5,6.9,0.515,,,,,,,,2.1,3.3,0.658,1.6,2.0,3.6,5.0,1.5,0.1,,2.1,8.3,0,27.0,12.0,17.0,4.0,1.0,,['MARQUETTE'],,0,1,0,16,1971,
0,Markieff Morris,2011-12,22.0,['PHO' 'TOT' 'WAS' 'OKC' 'DET' 'LAL' 'MIA' 'BRK' 'DAL'],NBA,PF,82.0,82.0,31.5,6.2,13.4,0.486,1.7,4.3,0.408,5.5,11.2,0.547,0.546,3.2,4.0,1.0,1.7,5.1,6.5,2.4,1.2,0.8,2.4,3.4,15.3,1,35.0,17.0,8.0,5.0,6.0,28.3,['KANSAS'],https://www.basketball-reference.com/req/202106291/images/headshots/morrima02.jpg,0,1,0,13,2011,
0,Shawn Marion,1999-00,21.0,['PHO' 'TOT' 'MIA' 'TOR' 'DAL' 'CLE'],NBA,SF,81.0,81.0,41.6,8.8,18.1,0.526,1.7,4.5,0.393,7.7,15.7,0.599,0.576,3.1,3.7,0.851,3.1,8.8,11.8,2.7,2.3,1.7,2.3,2.8,21.8,1,44.0,24.0,8.0,8.0,6.0,44.8,['UNLV'],https://www.basketball-reference.com/req/202106291/images/headshots/mariosh01.jpg,4,1,0,9,1999,
0,Guy Manning,1967-68,23.0,['HSM'],ABA,SF,59.0,,18.8,3.5,8.5,0.41,0.0,0.1,0.333,3.5,8.4,0.411,0.412,1.9,3.4,0.578,1.5,1.5,5.3,0.6,,,0.9,2.6,9.0,0,25.0,12.0,1.0,,,,,,0,0,0,3,1966,
0,Jack Maddox,1948-49,29.0,['INJ'],BAA,,1.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,1.0,,,,0.0,0.0,0,,,1.0,,,,,,0,0,0,,,
0,Eric Montross,1994-95,23.0,['BOS' 'TOT' 'DAL' 'NJN' 'PHI' 'DET' 'TOR'],NBA,C,78.0,77.0,29.7,3.9,7.4,0.566,0.0,0.0,0.0,3.9,7.4,0.566,0.566,2.1,3.4,0.635,3.7,5.4,9.1,0.9,0.4,1.3,1.4,3.8,10.0,1,28.0,18.0,4.0,3.0,5.0,26.4,['UNC'],,0,0,0,9,1994,
0,Jim McElroy,1975-76,22.0,['NOJ' 'TOT' 'DET' 'ATL'],NBA,PG,79.0,17.0,34.2,6.8,13.9,0.51,0.1,0.4,0.286,6.8,13.9,0.51,0.51,3.3,4.3,0.814,0.8,1.9,2.7,5.7,1.9,0.6,3.0,2.3,16.9,1,40.0,8.0,16.0,5.0,4.0,29.3,['CMICHIGAN'],,0,0,0,2,1975,
