,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,"Career high, Blocks",Triple-Doubles
0,Jeff Nordgaard,1997-98,24.0,['MIL'],NBA,PF,13.0,0.0,3.7,0.4,1.4,0.278,0.0,0.0,,0.4,1.4,0.278,0.278,0.6,0.7,0.889,0.3,0.8,1.1,0.2,0.2,0.0,0.2,0.5,1.4,0,4.0,4.0,2.0,1.0,3.3,['WISCGB'],,0,0,0,24,1996,,
0,Gaylon Nickerson,1996-97,27.0,['TOT' 'SAS' 'WSB'],NBA,SG,4.0,0.0,12.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.7,0.5,0.333,2.3,2.3,1.0,0.3,1.0,1.3,0.3,1.0,0.3,1.0,0.3,4.3,1,6.0,2.0,1.0,1.0,5.3,['WICHITAST' 'BUTLERCOCC' 'KANSASST' 'NWOKSTATE'],,0,0,0,7,1994,1.0,
0,Andrew Nicholson,2012-13,23.0,['ORL' 'TOT' 'WAS' 'BRK'],NBA,PF,76.0,28.0,16.7,3.4,6.5,0.527,0.7,2.0,0.36,3.4,6.5,0.536,0.537,1.0,1.3,1.0,0.9,3.0,3.6,0.6,0.5,0.4,1.1,2.0,7.8,1,24.0,14.0,4.0,4.0,21.0,['STBONNY'],https://www.basketball-reference.com/req/202106291/images/headshots/nichoan01.jpg,0,0,0,19,2012,4.0,
0,Kurt Nimphius,1980-81,22.0,['DAL' 'TOT' 'LAC' 'DET' 'SAS' 'PHI'],Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),82.0,66.0,29.0,4.7,9.3,0.52,0.0,0.1,1.0,4.7,9.3,0.522,0.521,2.6,3.5,0.771,2.2,4.0,6.3,2.2,0.5,1.8,1.6,3.5,12.0,1,26.0,15.0,10.0,4.0,24.0,['ARIZONAST'],https://www.basketball-reference.com/req/202106291/images/headshots/nimphku01.jpg,0,0,0,1,1980,7.0,
0,Juan Carlos Navarro,2002-03,22.0,['MEM'],Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),82.0,30.0,25.8,3.8,9.3,0.402,1.9,5.3,0.361,1.9,4.1,0.455,0.504,1.5,1.8,0.849,0.4,2.1,2.6,2.2,0.6,0.0,1.6,1.1,10.9,0,28.0,11.0,7.0,3.0,22.8,,,0,0,0,11,2002,1.0,
0,Mamadou N'Diaye,2000-01,25.0,['TOR' 'TOT' 'DAL' 'ATL' 'LAC'],NBA,C,28.0,8.0,16.5,2.0,4.4,0.6,0.0,0.1,0.0,2.0,4.4,0.6,0.6,1.8,2.4,1.0,1.7,2.7,4.4,0.3,0.4,1.5,1.0,2.6,5.5,1,15.0,10.0,2.0,2.0,16.6,['AUBURN'],,0,0,0,26,2000,8.0,
0,Al Negratti,1946-47,25.0,['WSC'],BAA,,11.0,,,1.2,6.3,0.188,,,,,,,,0.5,0.7,0.625,,,,0.5,,,,1.8,2.8,0,10.0,,,,,,,0,0,0,,,,
0,Larry Nance,1981-82,22.0,['PHO' 'TOT' 'CLE'],NBA,PF,82.0,82.0,37.2,8.5,15.4,0.587,0.1,0.1,1.0,8.5,15.3,0.587,0.588,5.5,7.1,0.83,3.2,6.9,9.9,3.4,1.4,3.0,2.9,3.8,22.5,1,45.0,21.0,14.0,6.0,42.2,['CLEMSON'],https://www.basketball-reference.com/req/202106291/images/headshots/nancela01.jpg,3,0,0,20,1981,11.0,3.0
0,Shabazz Napier,2014-15,23.0,['MIA' 'ORL' 'POR' 'BRK' 'TOT' 'MIN' 'WAS'],NBA,PG,74.0,32.0,24.4,3.7,8.7,0.428,1.5,4.4,0.376,2.3,4.6,0.54,0.512,2.7,3.3,0.841,0.5,2.6,3.1,5.2,1.5,0.3,2.6,2.0,11.6,1,32.0,10.0,13.0,4.0,30.4,['UCONN'],https://www.basketball-reference.com/req/202106291/images/headshots/napiesh01.jpg,0,0,0,24,2014,2.0,1.0
0,Mel Nowell,1962-63,23.0,['CHZ' 'NJA'],NBA,SG,76.0,,20.5,3.6,8.9,0.402,0.1,0.4,0.281,3.5,8.5,0.408,0.409,2.3,2.8,0.826,,,2.5,2.2,,,1.9,2.5,9.6,0,28.0,8.0,6.0,,,['OHIOST'],,0,0,0,1,1962,,
0,RJ Nembhard Jr.,2021-22,22.0,['CLE'],NBA,SG,14.0,0.0,4.5,0.4,1.3,0.333,0.0,0.1,0.0,0.4,1.1,0.375,0.333,0.2,0.3,0.75,0.2,0.3,0.5,0.9,0.1,0.0,0.2,0.1,1.1,0,4.0,2.0,6.0,1.0,6.1,['TXCHRIST'],https://www.basketball-reference.com/req/202106291/images/headshots/nembhrj01.jpg,0,0,0,,,,
0,Cotton Nash,1964-65,22.0,['TOT' 'LAL' 'SFW' 'KEN'],NBA,SF,45.0,,20.2,2.7,7.8,0.375,0.0,0.0,0.0,2.7,7.8,0.375,0.375,3.1,4.2,0.9,,,4.9,1.2,,,1.3,1.6,8.5,1,27.0,13.0,2.0,,,['KENTUCKY'],,0,0,0,5,1964,,
0,Tyrone Nesby,1998-99,23.0,['LAC' 'TOT' 'WAS'],NBA,SF,73.0,39.0,31.7,5.0,12.5,0.449,1.3,3.8,0.365,3.7,8.7,0.476,0.493,2.1,2.7,0.807,1.5,3.0,4.5,1.7,1.5,0.4,1.4,2.9,13.3,1,30.0,12.0,8.0,7.0,31.0,['UNLV'],,0,0,0,,,3.0,
0,Paul Napolitano,1948-49,25.0,['INJ'],BAA,,1.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,0,,,,,,,,0,0,0,,1947,,
0,Lee Nailon,1999-00,24.0,['CHH' 'NYK' 'TOT' 'ATL' 'ORL' 'CLE' 'NOH' 'PHI'],Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),79.0,51.0,29.7,6.1,12.8,0.5,0.0,0.1,0.5,6.1,12.8,0.5,0.5,2.0,2.4,0.867,1.9,2.5,4.4,1.6,0.7,0.3,1.6,2.8,14.2,1,32.0,11.0,7.0,5.0,32.0,['BUTLERCOCC' 'TXCHRIST'],,0,0,0,14,1999,3.0,
0,Martin Nessley,1987-88,22.0,['TOT' 'LAC' 'SAC'],NBA,C,44.0,0.0,8.4,0.5,1.4,0.667,0.0,0.0,,0.5,1.4,0.667,0.667,0.2,0.4,0.5,0.6,1.5,2.1,0.5,0.2,0.3,0.6,2.2,1.2,1,6.0,7.0,2.0,1.0,5.2,['DUKE'],,0,0,0,2,1987,2.0,
