,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Game Score","Career high, Blocks",Triple-Doubles
0,John Oldham,1949-50,26.0,['FTW'],NBA,,68.0,,,2.9,8.8,0.333,2.5,4.3,0.71,3.6,1.9,3.6,8.4,0,23.0,6.0,4.0,['WKENTUCKY'],,0,0,0,3,1949,,,,,,,,,,,,,,,,
0,Daniel Ochefu,2016-17,23.0,['WAS'],NBA,C,19.0,0.0,3.9,0.6,1.4,0.444,0.0,0.1,0.0,1.2,0.2,0.9,1.3,0,8.0,3.0,1.0,['VILLANOVA'],https://www.basketball-reference.com/req/202106291/images/headshots/ochefda01.jpg,0,0,0,,,0.0,0.0,,0.6,1.4,0.444,0.444,0.3,0.9,0.1,0.0,0.2,1.0,8.4,,
0,Mike O'Neill,1952-53,24.0,['MLH'],NBA,SF,4.0,,12.5,1.0,4.3,0.235,1.0,1.0,1.0,2.3,0.8,2.5,3.0,0,9.0,,,['CALIFORNIA'],,0,0,0,,,,,,,,,,,,,,,,,,
0,Frank Oleynick,1975-76,20.0,['SEA'],NBA,SG,52.0,,12.5,2.4,6.1,0.402,1.0,1.5,0.736,0.9,1.2,1.2,5.9,0,22.0,4.0,5.0,['SEATTLE'],,0,0,0,12,1975,,,,,,,,0.3,0.7,0.4,0.1,,3.0,-1.8,2.0,
0,Charles Oakley,1985-86,22.0,['CHI' 'NYK' 'TOR' 'WAS' 'HOU'],NBA,PF,82.0,82.0,36.3,5.7,12.8,0.524,3.6,4.7,0.851,13.1,3.6,3.8,14.6,0,35.0,35.0,15.0,['VAUNION'],https://www.basketball-reference.com/req/202106291/images/headshots/oaklech01.jpg,1,0,0,9,1985,0.2,0.6,0.367,5.6,12.5,0.527,0.524,4.3,9.5,1.6,0.6,3.6,5.0,39.3,6.0,3.0
0,Dean Oliver,2001-02,23.0,['GSW'],NBA,PG,20.0,0.0,7.0,0.9,2.3,0.37,0.5,0.5,0.875,1.1,1.5,0.8,2.1,0,15.0,5.0,6.0,['IOWA'],,0,0,0,,,0.1,0.7,0.167,0.8,1.7,0.455,0.391,0.5,0.5,0.5,0.0,0.7,2.0,12.9,,
0,Doug Overton,1992-93,23.0,['WSB' 'DEN' 'PHI' 'TOT' 'ORL' 'NJN' 'BOS' 'CHH' 'LAC'],NBA,PG,82.0,20.0,26.3,3.4,7.8,1.0,1.5,1.8,1.0,2.4,4.4,2.1,8.1,1,30.0,8.0,18.0,['LASALLE'],,0,0,0,13,1991,0.8,2.7,0.5,3.3,6.9,1.0,1.0,0.8,1.9,0.7,0.1,1.9,6.0,25.3,1.0,
0,Kevin O'Shea,1950-51,25.0,['MNL' 'TOT' 'MLH' 'BLB'],NBA,,65.0,,29.5,2.8,7.5,0.376,3.2,4.4,0.724,3.6,3.2,2.9,8.7,1,19.0,5.0,7.0,['NOTREDAME'],,0,0,0,11,1950,,,,,,,,,,,,,,,,
0,Keith Owens,1991-92,22.0,['LAL'],NBA,SF,20.0,0.0,4.0,0.5,1.6,0.281,0.4,0.5,0.8,0.8,0.2,0.6,1.3,0,8.0,4.0,1.0,['UCLA'],,0,0,0,,,0.0,0.0,,0.5,1.6,0.281,0.281,0.4,0.4,0.3,0.2,0.1,2.0,8.6,1.0,
0,Jahlil Okafor,2015-16,20.0,['PHI' 'TOT' 'BRK' 'NOP' 'DET'],NBA,C,59.0,48.0,30.0,7.5,14.7,0.623,2.5,3.7,0.76,7.0,1.2,3.5,17.5,1,31.0,17.0,6.0,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/okafoja01.jpg,0,0,0,3,2015,0.1,0.3,0.333,7.5,14.6,0.656,0.627,2.3,4.7,0.4,1.2,2.3,3.0,26.8,6.0,
0,Don Ohl,1960-61,24.0,['DET' 'BAL' 'TOT' 'STL' 'ATL'],NBA,SG,80.0,,37.0,8.1,18.3,0.473,4.8,6.1,0.806,4.4,4.1,3.6,20.6,1,43.0,15.0,10.0,['ILLINOIS'],,5,0,0,5,1958,,,,,,,,,,,,,,,,
0,Tom Owens,1971-72,22.0,['TOT' 'MMP' 'CAR' 'SSL' 'MMS' 'KEN' 'INA' 'SAA' 'HOU' 'POR' 'IND' 'DET'],ABA,C,83.0,40.0,34.0,7.3,13.4,0.548,3.9,4.9,0.801,11.4,3.7,4.0,18.5,1,41.0,23.0,9.0,['SCAROLINA'],https://www.basketball-reference.com/req/202106291/images/headshots/owensto01.jpg,0,0,0,7,1971,0.0,0.1,0.5,7.3,13.4,0.548,0.548,3.7,7.7,0.7,1.0,3.0,4.0,38.8,5.0,
0,J.J. O'Brien,2015-16,23.0,['UTA'],NBA,SF,2.0,0.0,3.0,0.0,0.5,0.0,0.0,0.0,,0.5,0.0,0.5,0.0,0,,1.0,,['UTAH' 'SANDIEGOST'],https://www.basketball-reference.com/req/202106291/images/headshots/obriejj01.jpg,0,0,0,,,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.9,,
0,John Olive,1978-79,23.0,['SDC'],NBA,SF,34.0,,15.0,0.4,2.0,0.325,0.5,0.7,0.783,1.0,0.1,2.0,1.3,0,7.0,3.0,2.0,['VILLANOVA'],,0,0,0,20,1977,0.0,0.0,,0.4,2.0,0.325,0.325,0.1,1.0,0.1,0.0,2.0,1.0,1.7,,
0,Jawann Oldham,1980-81,23.0,['DEN' 'HOU' 'CHI' 'NYK' 'SAC' 'TOT' 'ORL' 'LAL' 'IND'],NBA,C,64.0,47.0,24.5,3.2,6.2,0.667,1.1,1.8,0.68,5.9,0.7,4.0,7.4,1,19.0,15.0,4.0,['SEATTLE'],,0,0,0,18,1980,0.0,0.0,0.0,3.2,6.2,0.667,0.667,2.2,4.1,0.7,2.6,1.7,3.0,20.7,7.0,
0,Gene Ollrich,1949-50,27.0,['WAT'],NBA,,14.0,,,1.2,5.1,0.236,0.7,1.0,0.714,,1.7,2.4,3.1,0,8.0,,,['DRAKE'],,0,0,0,,,,,,,,,,,,,,,,,,
0,Greg Ostertag,1995-96,22.0,['UTA' 'SAC'],NBA,C,81.0,74.0,27.9,2.7,5.6,0.518,1.8,2.7,0.678,7.4,1.6,3.0,7.3,0,25.0,21.0,6.0,['KANSAS'],https://www.basketball-reference.com/req/202106291/images/headshots/ostergr01.jpg,0,0,0,28,1995,0.0,0.1,0.5,2.7,5.6,0.52,0.518,2.8,5.1,0.4,2.7,1.3,3.0,22.5,11.0,
0,Andy O'Donnell,1949-50,24.0,['BLB'],NBA,,25.0,,,1.5,4.3,0.352,0.6,0.7,0.778,,0.7,1.3,3.6,0,13.0,,2.0,['LOYOLAMD'],,0,0,0,,,,,,,,,,,,,,,,,,
0,Miye Oni,2019-20,22.0,['UTA'],NBA,SF,54.0,1.0,10.9,1.2,3.2,0.375,0.4,0.5,0.833,1.7,0.5,1.1,3.5,0,14.0,7.0,3.0,['YALE'],https://www.basketball-reference.com/req/202106291/images/headshots/onimi01.jpg,0,0,0,28,2019,0.7,1.9,0.368,0.5,1.3,1.0,0.505,0.5,1.2,0.4,0.2,0.4,1.0,11.4,3.0,
0,José Ortiz,1988-89,25.0,['UTA'],NBA,PF,51.0,15.0,6.4,1.5,3.2,0.452,0.6,1.0,0.6,1.2,0.5,1.2,3.2,0,15.0,6.0,4.0,['OREGONST'],,0,0,0,15,1987,0.1,0.2,0.5,1.4,3.1,0.45,0.464,0.6,0.5,0.2,0.1,0.7,1.0,10.6,2.0,
0,Elie Okobo,2018-19,21.0,['PHO'],NBA,PG,55.0,16.0,18.1,2.2,5.5,0.398,0.9,1.3,0.787,1.8,2.4,2.1,5.7,0,19.0,7.0,11.0,,https://www.basketball-reference.com/req/202106291/images/headshots/okoboel01.jpg,0,0,0,1,2018,0.7,2.5,0.352,1.4,3.0,0.475,0.467,0.3,1.6,0.6,0.1,1.3,5.0,16.0,2.0,
