,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles
0,Med Park,1955-56,22.0,['STL' 'TOT' 'CIN'],NBA,SF,74.0,,27.2,3.4,8.4,0.405,2.9,3.8,0.77,4.5,2.9,2.4,9.7,1,25.0,14.0,8.0,['MISSOURI'],,0,1,0,,,,,,,,,,,,,,,,,,
0,Mark Price,1986-87,22.0,['CLE' 'WSB' 'GSW' 'ORL'],NBA,PG,80.0,79.0,37.1,7.1,14.6,0.526,4.1,4.6,1.0,3.4,10.4,1.6,19.6,0,39.0,11.0,20.0,['GATECH'],https://www.basketball-reference.com/req/202106291/images/headshots/pricema01.jpg,4,0,0,1,1986,2.1,5.3,0.486,5.8,10.6,0.556,0.572,0.9,2.5,2.6,0.2,3.5,6.0,2.0,35.8,1.0
0,Geoff Petrie,1970-71,22.0,['POR'],NBA,SG,82.0,,39.7,10.6,22.8,0.481,5.6,7.3,0.853,3.5,5.3,2.7,24.9,0,51.0,9.0,14.0,['PRINCETON'],https://www.basketball-reference.com/req/202106291/images/headshots/petrige01.jpg,2,0,0,8,1970,,,,,,,,0.9,2.1,1.2,0.2,,6.0,3.0,,
0,Joel Przybilla,2000-01,21.0,['MIL' 'TOT' 'ATL' 'POR' 'CHA'],NBA,C,82.0,67.0,26.2,2.6,4.4,0.625,1.5,2.8,0.68,8.7,1.0,4.0,6.4,1,19.0,26.0,4.0,['MINNESOTA'],https://www.basketball-reference.com/req/202106291/images/headshots/przybjo01.jpg,0,0,0,9,2000,0.0,0.0,0.0,2.6,4.4,0.627,0.625,2.6,6.3,0.4,2.3,1.4,3.0,9.0,23.5,
0,A.J. Price,2009-10,23.0,['IND' 'WAS' 'MIN' 'TOT' 'CLE' 'PHO'],NBA,PG,57.0,22.0,22.4,3.9,8.9,0.438,1.2,1.8,0.8,2.0,3.6,1.3,10.5,1,24.0,8.0,14.0,['UCONN'],https://www.basketball-reference.com/req/202106291/images/headshots/priceaj01.jpg,0,0,0,22,2009,1.5,3.9,0.385,2.4,5.0,0.542,0.522,0.4,1.6,0.6,0.1,1.1,3.0,1.0,18.8,
0,Eddie Phillips,1982-83,21.0,['NJN'],NBA,SF,48.0,0.0,8.7,1.2,2.9,0.406,0.8,1.2,0.678,1.6,0.6,1.2,3.2,0,12.0,5.0,4.0,['ALABAMA'],,0,0,0,21,1982,0.0,0.0,0.0,1.2,2.8,0.412,0.406,0.6,1.0,0.3,0.2,1.0,2.0,1.0,13.3,
0,Stan Patrick,1949-50,27.0,['TOT' 'WAT' 'SHE'],NBA,,53.0,,,2.3,5.6,0.422,2.1,3.2,0.648,,1.7,1.7,6.7,1,21.0,,6.0,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Scottie Pippen,1987-88,22.0,['CHI' 'HOU' 'POR'],NBA,SF,82.0,82.0,40.2,8.7,17.8,0.52,4.0,5.7,0.818,8.7,7.0,3.6,22.0,0,47.0,18.0,15.0,['CARKANSAS'],https://www.basketball-reference.com/req/202106291/images/headshots/pippesc01.jpg,7,6,0,5,1987,1.9,5.2,0.374,8.2,15.6,0.534,0.531,2.5,6.3,2.9,1.2,3.4,9.0,5.0,45.3,17.0
0,London Perrantes,2017-18,23.0,['CLE'],NBA,PG,14.0,0.0,4.7,0.1,0.9,0.154,0.2,0.4,0.6,0.3,0.4,0.4,0.5,0,4.0,2.0,2.0,['VIRGINIA'],https://www.basketball-reference.com/req/202106291/images/headshots/perralo01.jpg,0,0,0,,,0.0,0.2,0.0,0.1,0.7,0.2,0.154,0.1,0.2,0.1,0.1,0.1,2.0,1.0,2.4,
0,Milt Palacio,1999-00,21.0,['VAN' 'BOS' 'TOT' 'PHO' 'CLE' 'TOR' 'UTA'],NBA,PG,80.0,46.0,24.7,2.4,5.7,0.472,1.4,2.1,0.848,2.9,3.5,2.1,6.2,1,20.0,10.0,10.0,['MIDLANDCC' 'COLORADOST'],,0,0,0,,,0.3,0.8,0.353,2.4,5.5,0.494,0.494,0.6,2.3,0.9,0.2,1.6,5.0,3.0,22.7,
