,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Sergio Rodríguez,2006-07,20.0,['POR' 'TOT' 'SAC' 'NYK' 'PHI'],NBA,PG,80.0,30.0,22.3,3.1,7.9,0.491,1.4,3.7,0.365,2.3,4.2,0.554,0.543,1.1,1.6,0.808,0.5,2.0,2.3,5.1,0.8,0.1,2.0,1.7,7.8,1,24.0,8.0,12.0,8.0,1.0,23.6,,https://www.basketball-reference.com/req/202106291/images/headshots/rodrise01.jpg,0,0,0,27,2006,
0,Nate Robinson,2005-06,21.0,['NYK' 'TOT' 'BOS' 'OKC' 'GSW' 'CHI' 'DEN' 'LAC' 'NOP'],NBA,PG,82.0,26.0,29.9,6.1,13.9,0.452,1.7,5.2,0.414,4.4,8.7,0.505,0.528,3.4,4.0,0.841,1.3,2.6,3.9,4.5,1.3,0.2,1.9,2.8,17.2,1,45.0,10.0,15.0,5.0,3.0,37.1,['WASHINGTON'],https://www.basketball-reference.com/req/202106291/images/headshots/robinna01.jpg,0,0,0,21,2005,
0,Kurt Rambis,1980-81,22.0,['LAL' 'CHH' 'TOT' 'PHO' 'SAC'],Did Not Play (other pro league—Greece),Did Not Play (other pro league—Greece),82.0,77.0,29.8,4.3,8.4,0.595,0.0,0.1,0.0,4.3,8.3,0.595,0.595,2.4,3.4,0.785,3.6,5.8,9.4,2.1,2.0,1.2,2.0,3.0,11.1,1,23.0,22.0,8.0,7.0,4.0,27.5,['SANTACLARA'],https://www.basketball-reference.com/req/202106291/images/headshots/rambiku01.jpg,0,4,0,12,1980,
0,Quentin Richardson,2000-01,20.0,['LAC' 'PHO' 'NYK' 'MIA' 'ORL'],NBA,SG,81.0,78.0,36.0,6.5,16.4,0.442,2.9,8.0,0.397,4.7,11.2,0.493,0.558,2.3,3.1,1.0,5.0,5.9,10.0,2.2,1.2,0.3,2.2,2.7,17.2,0,44.0,16.0,9.0,4.0,2.0,33.6,['DEPAUL'],https://www.basketball-reference.com/req/202106291/images/headshots/richaqu01.jpg,0,0,0,18,2000,
0,Richie Regan,1953-54,23.0,['ROC' 'CIN'],Did Not Play (military service—U.S. Marine Corps),Did Not Play (military service—U.S. Marine Corps),72.0,,29.6,3.6,11.0,0.355,,,,,,,,2.6,3.3,0.774,,,2.9,3.1,,,,2.5,9.8,0,23.0,10.0,8.0,,,,['SETONHALL'],,1,0,0,5,1953,
0,Stefano Rusconi,1995-96,27.0,['PHO'],NBA,PF,7.0,0.0,4.3,0.4,1.3,0.333,0.0,0.0,,0.4,1.3,0.333,0.333,0.3,0.7,0.4,0.4,0.4,0.9,0.4,0.0,0.3,0.4,1.4,1.1,0,7.0,2.0,2.0,,2.0,3.7,,,0,0,0,25,1990,
0,Oliver Robinson,1982-83,22.0,['SAS'],NBA,SG,35.0,0.0,4.2,1.0,2.8,0.361,0.0,0.3,0.091,1.0,2.5,0.395,0.366,0.9,1.3,0.667,0.2,0.3,0.5,0.6,0.1,0.1,0.4,0.5,2.9,0,8.0,3.0,4.0,1.0,1.0,6.6,['UAB'],,0,0,0,1,1982,
0,Jason Richardson,2001-02,21.0,['GSW' 'CHA' 'TOT' 'PHO' 'ORL' 'PHI'],NBA,SG,82.0,82.0,38.4,8.5,19.2,0.488,3.0,7.3,0.458,6.7,13.9,0.545,0.556,3.7,5.5,0.778,1.7,5.1,6.7,3.9,1.5,0.7,2.5,3.1,23.2,1,44.0,14.0,8.0,8.0,3.0,37.0,['MICHIGANST'],https://www.basketball-reference.com/req/202106291/images/headshots/richaja01.jpg,0,0,0,5,2001,
0,Roy Rogers,1996-97,23.0,['VAN' 'TOT' 'BOS' 'TOR' 'DEN'],NBA,PF,82.0,50.0,22.5,3.0,5.9,0.505,0.0,0.0,1.0,3.0,5.9,0.504,0.506,0.7,1.1,0.574,1.7,3.0,4.7,0.6,0.3,2.0,1.0,2.6,6.6,1,18.0,12.0,5.0,2.0,6.0,17.8,['ALABAMA'],,0,0,0,22,1996,
0,Ron Reed,1965-66,23.0,['DET'],NBA,PF,62.0,,20.1,3.6,9.7,0.372,,,,,,,,1.3,2.1,0.594,,,6.8,1.6,,,,2.3,8.5,0,30.0,20.0,6.0,,,,['NOTREDAME'],,0,0,0,3,1965,
0,Don Rehfeldt,1950-51,24.0,['BLB' 'TOT' 'MLH'],NBA,SF,59.0,,20.5,2.8,7.8,0.385,,,,,,,,1.7,2.4,0.86,,,6.9,1.3,,,,2.7,7.3,1,23.0,7.0,3.0,,,,['WISCONSIN'],,0,0,0,2,1950,
0,Peter John Ramos,2004-05,19.0,['WAS'],NBA,C,6.0,0.0,3.3,0.8,1.7,0.5,0.0,0.0,,0.8,1.7,0.5,0.5,0.2,0.3,0.5,0.2,0.5,0.7,0.0,0.0,0.2,0.5,0.7,1.8,0,6.0,1.0,,,1.0,5.0,,,0,0,0,3,2004,
0,Anthony Randolph,2008-09,19.0,['GSW' 'TOT' 'NYK' 'MIN' 'DEN'],NBA,PF,63.0,22.0,22.7,4.7,9.5,0.498,0.4,1.4,0.295,4.7,9.5,0.528,0.498,3.3,4.1,0.801,2.2,4.3,6.5,1.3,0.8,1.5,1.9,2.8,11.7,1,31.0,16.0,5.0,4.0,8.0,29.5,['LSU'],https://www.basketball-reference.com/req/202106291/images/headshots/randoan01.jpg,0,0,0,14,2008,
0,Norm Richardson,2001-02,22.0,['TOT' 'IND' 'CHI'],NBA,SG,11.0,0.0,7.9,1.3,2.9,0.435,0.5,1.0,0.5,0.8,1.9,0.4,0.522,0.8,1.1,0.667,0.3,0.6,0.9,0.3,0.0,0.0,0.4,0.6,3.8,1,10.0,3.0,1.0,,,7.2,['HOFSTRA'],,0,0,0,,,
0,Josh Richardson,2015-16,22.0,['MIA' 'PHI' 'DAL' 'TOT' 'BOS' 'SAS' 'NOP'],NBA,SG,81.0,81.0,34.8,5.8,14.1,0.452,2.2,6.3,0.461,3.5,7.8,0.518,0.55,2.7,3.2,0.946,0.9,2.9,3.6,4.1,1.5,0.9,1.9,2.7,16.6,1,37.0,10.0,10.0,5.0,4.0,29.6,['TENNESSEE'],https://www.basketball-reference.com/req/202106291/images/headshots/richajo01.jpg,0,0,0,10,2015,
0,Shavlik Randolph,2005-06,22.0,['PHI' 'POR' 'TOT' 'MIA' 'BOS' 'PHO'],NBA,PF,57.0,6.0,15.7,1.8,5.0,0.615,0.1,0.3,1.0,1.8,5.0,0.583,0.654,0.9,1.7,1.0,2.3,2.7,4.4,0.3,0.5,0.8,0.7,3.0,4.5,1,16.0,13.0,5.0,3.0,4.0,13.0,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/randosh01.jpg,0,0,0,,,
0,Clifford Ray,1971-72,23.0,['CHI' 'GSW'],NBA,C,82.0,,32.9,3.9,7.7,0.584,0.0,0.0,0.0,3.9,7.7,0.584,0.584,2.1,3.5,0.619,3.6,8.7,12.2,3.7,1.2,2.2,1.9,3.7,9.4,0,24.0,24.0,10.0,5.0,8.0,25.5,['OKLAHOMA'],https://www.basketball-reference.com/req/202106291/images/headshots/raycl01.jpg,0,1,0,5,1971,1.0
0,Rodney Rogers,1993-94,22.0,['DEN' 'LAC' 'PHO' 'TOT' 'BOS' 'NJN' 'NOH' 'PHI'],NBA,SF,82.0,77.0,32.9,5.6,12.3,0.488,1.4,3.5,0.439,4.7,9.5,0.535,0.57,3.0,4.3,0.828,2.0,3.8,5.6,2.7,1.2,0.8,2.7,3.5,15.1,1,36.0,21.0,9.0,6.0,5.0,30.4,['WAKE'],https://www.basketball-reference.com/req/202106291/images/headshots/rogerro01.jpg,0,0,0,9,1993,
0,Jeff Ruland,1980-81,22.0,['WSB' 'PHI' 'DET'],Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),82.0,75.0,41.1,8.0,13.8,0.679,0.0,0.1,0.333,8.0,13.7,0.679,0.679,6.2,8.5,0.752,3.7,8.8,12.3,5.3,0.9,1.0,4.8,3.9,22.2,0,38.0,24.0,12.0,4.0,5.0,34.2,['IONA'],https://www.basketball-reference.com/req/202106291/images/headshots/rulanje01.jpg,2,0,0,2,1980,5.0
0,Eric Riley,1993-94,23.0,['HOU' 'LAC' 'MIN' 'DAL' 'BOS'],NBA,C,47.0,14.0,13.9,1.6,3.6,0.519,0.0,0.0,0.0,1.6,3.6,0.519,0.519,1.2,1.6,0.786,1.3,2.3,3.4,0.6,0.4,1.2,0.9,2.1,4.4,0,16.0,14.0,4.0,3.0,5.0,12.5,['MICHIGAN'],,0,1,0,6,1993,
0,Kareem Rush,2002-03,22.0,['LAL' 'TOT' 'CHA' 'IND' 'PHI' 'LAC'],NBA,PG,76.0,25.0,25.8,4.5,11.4,0.44,1.4,3.7,0.389,3.1,7.6,0.483,0.495,1.2,1.6,1.0,0.5,2.1,2.4,1.9,0.8,0.4,1.4,2.0,11.5,1,35.0,11.0,7.0,3.0,2.0,30.8,['MISSOURI'],,0,0,0,20,2002,
0,George Reynolds,1969-70,22.0,['DET'],NBA,,10.0,,4.4,0.8,1.9,0.421,,,,,,,,0.5,0.7,0.714,,,1.4,1.2,,,,1.0,2.1,0,8.0,3.0,5.0,,,,['HOUSTON'],,0,0,0,4,1969,
0,Jalen Rose,1994-95,22.0,['DEN' 'IND' 'TOT' 'CHI' 'TOR' 'NYK' 'PHO'],NBA,SF,83.0,83.0,40.9,9.2,19.6,0.48,1.6,4.4,0.491,8.0,16.2,0.52,0.564,4.9,5.7,0.917,0.8,4.5,5.0,6.2,1.1,0.6,3.5,3.4,23.8,1,44.0,14.0,20.0,5.0,6.0,37.0,['MICHIGAN'],https://www.basketball-reference.com/req/202106291/images/headshots/roseja01.jpg,0,0,0,13,1994,1.0
0,Mike Riordan,1968-69,23.0,['NYK' 'TOT' 'BAL' 'CAP' 'WSB'],NBA,SF,82.0,,42.3,8.0,15.6,0.51,,,,,,,,2.2,2.7,0.838,1.5,3.2,4.9,5.2,1.3,0.2,,3.2,18.1,1,39.0,14.0,12.0,3.0,2.0,,['PROVIDENCE'],https://www.basketball-reference.com/req/202106291/images/headshots/riordmi01.jpg,0,1,0,5,1967,
0,Wayne Robinson,1980-81,22.0,['DET'],NBA,PF,81.0,,19.7,2.9,6.3,0.46,0.0,0.1,0.0,2.9,6.2,0.465,0.46,2.2,3.0,0.729,1.4,2.2,3.6,1.4,0.6,0.3,1.8,2.3,7.9,0,19.0,11.0,5.0,3.0,2.0,14.9,['VATECH'],,0,0,0,8,1980,
0,Irv Rothenberg,1946-47,25.0,['CLR' 'TOT' 'WSC' 'BLB' 'STB' 'NYK'],BAA,,53.0,,,2.6,9.1,0.291,,,,,,,,2.5,4.4,0.762,,,,1.3,,,,3.3,7.8,1,24.0,,2.0,,,,,,0,0,0,,1947,
0,Bobby Rascoe,1967-68,27.0,['KEN'],ABA,SF,78.0,,20.9,3.2,7.3,0.435,0.0,0.3,0.2,3.2,7.2,0.439,0.435,2.5,3.2,0.857,0.7,1.2,3.7,1.3,,,1.2,2.1,8.8,0,34.0,14.0,5.0,,,,['WKENTUCKY'],,0,0,0,2,1962,
0,Oscar Robertson,1960-61,22.0,['CIN' 'MIL'],NBA,PG,81.0,,46.0,11.0,22.9,0.518,,,,,,,,10.1,11.9,0.873,1.0,3.0,12.5,11.5,1.1,0.1,,3.7,31.4,0,56.0,22.0,22.0,6.0,1.0,9.2,['CINCY'],https://www.basketball-reference.com/req/202106291/images/headshots/roberos01.jpg,12,1,1,1,1960,181.0
0,Rodrick Rhodes,1997-98,24.0,['HOU' 'TOT' 'VAN' 'DAL'],NBA,SF,58.0,13.0,18.4,1.9,5.3,0.367,0.1,0.7,0.25,1.9,5.1,0.37,0.37,1.9,3.1,0.833,1.0,0.7,1.3,1.9,2.0,0.2,2.0,2.2,5.8,1,16.0,4.0,6.0,5.0,1.0,15.2,['KENTUCKY' 'USC'],,0,0,0,24,1997,
0,Jack Rocker,1947-48,25.0,['PHW'],BAA,,9.0,,,0.9,2.4,0.364,,,,,,,,0.1,0.1,1.0,,,,0.3,,,,0.2,1.9,0,8.0,,1.0,,,,,,0,0,0,,,
