,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,ORB,DRB,STL,BLK,TOV,"Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",3P,3PA,3P%,2P,2PA,2P%,eFG%,"Career high, Blocks",Triple-Doubles
0,Bob Shea,1946-47,22.0,['PRO'],BAA,,43.0,,,0.9,3.6,0.242,0.4,0.8,0.576,,0.1,1.0,2.2,0,12.0,,,0,0,0,,,,,,,,,,,,,,,,,,,,
0,Scott Sims,1977-78,22.0,['SAS'],NBA,PG,12.0,,7.9,0.8,2.2,0.385,0.8,1.3,0.667,1.1,1.7,1.3,2.5,0,11.0,['MISSOURI'],,0,0,0,15,1977,0.4,0.7,0.3,0.0,1.6,4.0,4.0,2.0,6.9,,,,,,,,,
0,Ken Smith,1975-76,22.0,['SAA'],ABA,SF,19.0,,8.6,1.8,4.4,0.41,0.7,0.8,0.813,1.3,0.4,1.2,4.3,0,15.0,['TULSA'],,0,0,0,11,1975,0.5,0.8,0.2,0.0,0.4,4.0,2.0,1.0,-2.8,0.1,0.3,0.2,1.7,4.1,0.423,0.416,,
0,Shea Seals,1997-98,22.0,['LAL'],NBA,SG,4.0,0.0,2.3,0.3,2.0,0.125,0.5,1.0,0.5,1.0,0.0,0.3,1.0,0,2.0,['TULSA'],,0,0,0,,,0.8,0.3,0.3,0.0,0.0,3.0,,1.0,0.9,0.0,0.8,0.0,0.3,1.3,0.2,0.125,,
0,Melvin Sanders,2005-06,25.0,['SAS'],NBA,SG,16.0,0.0,7.1,1.0,2.1,0.485,0.4,0.6,0.7,1.4,0.2,1.3,2.6,0,8.0,['SEWARDCCC' 'OKSTATE'],,0,0,0,,,0.3,1.2,0.3,0.0,0.5,5.0,1.0,2.0,7.6,0.1,0.2,0.667,0.9,1.9,0.467,0.515,,
0,Mark Sibley,1973-74,23.0,['POR'],NBA,SG,28.0,,4.4,0.7,2.0,0.357,0.2,0.3,0.857,0.9,0.5,0.8,1.6,0,8.0,['NWESTERN'],,0,0,0,12,1973,0.3,0.6,0.1,0.0,,4.0,2.0,1.0,,,,,,,,,1.0,
0,Mike Smith,2000-01,24.0,['WAS'],NBA,SF,17.0,0.0,10.6,1.1,3.5,0.322,0.6,0.9,0.625,1.3,0.6,0.5,3.0,0,11.0,['ULAMO'],,0,0,0,6,2000,0.6,0.7,0.3,0.2,0.4,3.0,3.0,1.0,8.8,0.2,1.1,0.167,0.9,2.4,0.39,0.347,1.0,
0,Willie Smith,1976-77,23.0,['CHI' 'IND' 'POR' 'CLE'],NBA,PG,62.0,,17.0,2.0,5.1,0.523,0.9,1.3,0.769,2.0,4.2,1.8,4.8,0,14.0,['MISSOURI'],,0,0,0,1,1976,0.9,1.0,1.2,0.1,1.5,6.0,11.0,5.0,16.8,0.3,1.1,0.239,1.8,3.9,0.523,0.523,1.0,
0,Mike Silliman,1970-71,26.0,['BUF'],NBA,SF,36.0,,10.2,1.0,2.2,0.456,0.5,1.1,0.487,1.7,0.6,1.0,2.5,0,12.0,['ARMY'],,0,0,0,1,1966,,,,,,5.0,2.0,,,,,,,,,,,
0,Bob Sura,1995-96,22.0,['CLE' 'GSW' 'TOT' 'DET' 'ATL' 'HOU'],NBA,SG,82.0,59.0,35.4,4.9,11.6,0.437,4.6,5.8,0.783,8.3,5.3,2.8,14.7,1,35.0,['FLORIDAST'],https://www.basketball-reference.com/req/202106291/images/headshots/surabo01.jpg,0,0,0,17,1995,2.6,5.7,1.2,0.4,3.0,15.0,13.0,6.0,30.9,1.7,4.5,0.367,4.4,10.0,0.484,0.512,3.0,2.0
