,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles,College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year
0,Wes Unseld,1968-69,22.0,['BAL' 'CAP' 'WSB'],NBA,C,82.0,,41.7,6.4,12.4,0.577,0.0,0.1,0.5,6.4,12.4,0.577,0.577,3.4,5.6,0.703,4.4,10.4,18.2,5.2,1.6,0.9,2.2,3.4,16.2,0,30.0,32.0,13.0,8.0,6.0,27.0,7.0,['LOUISVILLE'],https://www.basketball-reference.com/req/202106291/images/headshots/unselwe01.jpg,5,1,0,2,1968
0,Ekpe Udoh,2010-11,23.0,['GSW' 'TOT' 'MIL' 'LAC' 'UTA'],NBA,C,76.0,18.0,21.8,2.2,4.9,0.694,0.0,0.1,0.0,2.2,4.9,0.694,0.694,1.7,2.2,0.8,1.8,2.8,4.7,1.1,0.7,1.7,0.9,3.0,5.7,1,19.0,13.0,5.0,4.0,6.0,22.1,,['MICHIGAN' 'BAYLOR'],https://www.basketball-reference.com/req/202106291/images/headshots/udohek01.jpg,0,0,0,6,2010
0,Ime Udoka,2002-03,25.0,['LAL' 'NYK' 'POR' 'SAS' 'SAC'],Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),75.0,75.0,28.6,3.2,6.9,0.461,1.2,2.9,0.406,2.0,3.9,0.502,0.548,0.9,1.2,0.759,1.3,2.6,3.7,1.5,0.9,0.3,1.0,2.8,8.4,0,21.0,14.0,5.0,4.0,2.0,24.3,,['SANFRAN' 'PORTLANDST'],https://www.basketball-reference.com/req/202106291/images/headshots/udokaim01.jpg,0,0,0,,
0,Jarrod Uthoff,2016-17,23.0,['DAL' 'TOT' 'MEM' 'WAS'],NBA,PF,9.0,0.0,13.0,2.0,4.2,0.545,1.0,1.7,0.6,1.4,3.2,0.5,0.682,0.6,0.8,1.0,0.9,1.6,2.4,1.0,0.3,0.4,0.3,0.9,5.0,1,12.0,9.0,4.0,1.0,2.0,11.8,,['IOWA'],https://www.basketball-reference.com/req/202106291/images/headshots/uthofja01.jpg,0,0,0,,
0,Kelvin Upshaw,1988-89,26.0,['TOT' 'MIA' 'BOS' 'DAL' 'GSW'],NBA,SG,48.0,1.0,20.6,3.2,7.0,0.49,0.1,0.6,0.4,3.1,6.4,0.516,0.5,1.1,1.3,0.859,0.4,1.3,1.6,4.2,1.1,0.1,1.8,2.7,7.0,1,19.0,7.0,9.0,6.0,1.0,21.0,,['UTAH'],,0,0,0,,
0,Roko Ukić,2008-09,24.0,['TOR' 'MIL'],NBA,PG,72.0,0.0,12.4,1.7,4.5,0.467,0.2,0.9,0.25,1.6,3.6,0.611,0.517,0.7,0.8,0.818,0.4,0.7,1.0,2.1,0.4,0.0,0.8,1.1,4.2,0,22.0,4.0,10.0,2.0,1.0,18.0,,,,0,0,0,11,2005
0,Beno Udrih,2004-05,22.0,['SAS' 'SAC' 'MIL' 'TOT' 'ORL' 'NYK' 'MEM' 'MIA' 'DET'],NBA,PG,80.0,72.0,34.6,5.3,10.9,0.556,0.9,2.5,1.0,4.4,8.8,0.54,0.611,2.5,2.9,1.0,0.6,2.8,3.4,6.1,1.2,0.2,2.3,2.6,13.7,1,34.0,10.0,17.0,6.0,2.0,29.4,1.0,,https://www.basketball-reference.com/req/202106291/images/headshots/udrihbe01.jpg,0,2,0,28,2004
0,Edwin Ubiles,2011-12,25.0,['WAS'],NBA,SF,4.0,0.0,13.0,1.3,4.5,0.278,0.3,1.3,0.2,1.0,3.3,0.308,0.306,0.8,0.8,1.0,0.5,2.0,2.5,0.3,0.3,0.3,0.3,0.3,3.5,0,10.0,4.0,1.0,1.0,1.0,7.3,,['SIENA'],https://www.basketball-reference.com/req/202106291/images/headshots/ubileed01.jpg,0,0,0,,
0,Hal Uplinger,1953-54,24.0,['BLB'],NBA,SG,23.0,,11.7,1.4,4.1,0.351,,,,,,,,0.9,1.0,0.909,,,1.3,1.1,,,,1.8,3.7,0,12.0,3.0,6.0,,,,,['LONGISLAND'],,0,0,0,,
0,Ben Uzoh,2010-11,22.0,['NJN' 'TOT' 'CLE' 'TOR'],NBA,PG,42.0,8.0,22.3,2.1,5.9,0.424,0.1,0.2,0.375,2.1,5.8,0.426,0.434,0.8,1.3,0.589,1.1,2.9,3.9,3.7,1.0,0.2,1.2,1.9,4.8,1,18.0,11.0,12.0,4.0,4.0,19.1,1.0,['TULSA'],https://www.basketball-reference.com/req/202106291/images/headshots/uzohbe01.jpg,0,0,0,,
