,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Jacque Vaughn,1997-98,22.0,['UTA' 'ATL' 'ORL' 'NJN' 'SAS'],NBA,PG,82.0,48.0,22.6,2.5,5.3,0.47,0.4,1.0,1.0,2.2,4.7,0.474,0.498,1.6,2.0,0.889,0.3,1.8,2.0,4.3,0.8,0.0,1.6,2.2,6.6,0,23.0,8.0,15.0,5.0,2.0,22.7,['KANSAS'],,0,1,0,27,1997,
0,Sam Vincent,1985-86,22.0,['BOS' 'TOT' 'SEA' 'CHI' 'ORL'],NBA,SG,72.0,56.0,32.9,4.8,10.7,0.484,0.1,0.4,0.385,4.7,10.4,0.495,0.49,3.4,3.7,0.929,0.6,2.9,3.6,8.4,1.2,0.4,2.9,2.8,13.0,1,35.0,11.0,17.0,4.0,2.0,34.3,['MICHIGANST'],,0,1,0,20,1985,1.0
0,Ratko Varda,2001-02,22.0,['DET'],NBA,C,1.0,0.0,6.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0,5.0,1.0,,,,1.8,,,0,0,0,,,
0,Pete Verhoeven,1981-82,22.0,['POR' 'KCK' 'GSW' 'IND'],NBA,PF,71.0,22.0,17.0,2.1,4.2,0.539,0.0,0.0,0.5,2.1,4.2,0.539,0.542,0.7,1.0,0.84,1.5,2.1,3.6,0.7,0.6,0.3,0.8,3.0,4.9,0,28.0,12.0,4.0,4.0,3.0,27.0,['FRESNOST'],,0,0,0,16,1981,
0,Rashad Vaughn,2015-16,19.0,['MIL' 'TOT' 'BRK' 'ORL'],NBA,SG,70.0,6.0,14.3,1.4,3.8,0.42,0.6,2.1,0.5,0.8,1.8,0.533,0.55,0.2,0.3,0.8,0.2,1.1,1.3,1.0,0.5,0.2,0.4,1.0,3.5,1,22.0,6.0,4.0,3.0,2.0,13.8,['UNLV'],https://www.basketball-reference.com/req/202106291/images/headshots/vaughra01.jpg,0,0,0,17,2015,
0,Gary Voce,1989-90,24.0,['CLE'],NBA,PF,1.0,0.0,4.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2.0,2.0,,,,1.7,['NOTREDAME'],,0,0,0,,,
0,Jonas Valančiūnas,2012-13,20.0,['TOR' 'TOT' 'MEM' 'NOP'],NBA,C,81.0,81.0,30.3,8.0,14.7,0.592,0.8,2.1,0.5,7.7,13.7,0.617,0.606,3.7,4.8,0.826,4.1,8.4,12.5,2.6,0.6,1.6,2.7,3.4,19.9,1,39.0,25.0,12.0,4.0,7.0,37.8,,https://www.basketball-reference.com/req/202106291/images/headshots/valanjo01.jpg,0,0,0,5,2011,1.0
0,Steve Vacendak,1967-68,23.0,['PTP' 'MNP' 'TOT' 'MMF'],ABA,PG,60.0,,26.5,4.8,11.9,0.402,0.0,0.2,0.25,4.8,11.8,0.404,0.404,2.8,3.6,1.0,1.5,2.0,3.5,2.8,,,2.3,2.6,12.4,1,33.0,17.0,7.0,,,,['DUKE'],,0,1,0,3,1966,
0,Gabe Vincent,2019-20,23.0,['MIA'],NBA,PG,68.0,34.0,25.9,3.4,8.3,0.417,1.8,5.1,0.368,1.6,3.2,0.512,0.533,1.0,1.1,0.872,0.4,1.7,2.1,3.1,0.9,0.2,1.4,2.3,9.4,0,28.0,8.0,10.0,5.0,2.0,26.2,['UCSB'],https://www.basketball-reference.com/req/202106291/images/headshots/vincega01.jpg,0,0,0,,,
0,Gundars Vētra,1992-93,25.0,['MIN'],NBA,SF,13.0,0.0,6.8,1.5,3.1,0.475,0.2,0.2,1.0,1.2,2.8,0.432,0.513,0.3,0.5,0.667,0.3,0.3,0.6,0.5,0.2,0.0,0.2,0.9,3.5,0,17.0,4.0,2.0,1.0,,13.7,,,0,0,0,,,
0,Jarred Vanderbilt,2018-19,19.0,['DEN' 'TOT' 'MIN' 'UTA' 'LAL'],NBA,PF,78.0,67.0,25.4,3.3,6.0,0.714,0.4,1.3,0.333,3.0,4.9,0.714,0.714,1.3,2.0,1.0,2.9,5.5,8.4,2.7,1.3,0.7,1.3,2.6,8.3,1,21.0,19.0,8.0,5.0,4.0,26.3,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/vandeja01.jpg,0,0,0,11,2018,
0,John Vallely,1970-71,22.0,['ATL' 'TOT' 'HOU'],NBA,SG,51.0,,12.2,2.2,4.8,0.465,,,,,,,,1.4,2.2,0.763,,,1.2,1.0,,,,1.4,5.9,1,24.0,5.0,6.0,,,,['UCLA'],,0,0,0,14,1970,
0,Gene Vance,1947-48,24.0,['CHS' 'TRI' 'MLH'],BAA,,56.0,,16.9,4.0,12.9,0.404,,,,,,,,2.5,3.4,0.724,,,3.2,3.5,,,,4.1,10.3,0,30.0,6.0,7.0,,,,,,0,0,0,,1947,
0,Jan van Breda Kolff,1974-75,23.0,['DNA' 'TOT' 'VIR' 'KEN' 'NYN' 'NJN'],ABA,SF,84.0,0.0,33.3,3.8,8.5,0.5,0.1,0.2,0.5,3.8,8.5,0.513,0.5,2.9,3.5,0.855,2.2,4.3,6.5,3.0,1.2,1.5,2.2,3.7,10.2,1,25.0,17.0,9.0,5.0,4.0,17.4,['VANDY'],,0,0,0,2,1974,
0,Keith Van Horn,1997-98,22.0,['NJN' 'PHI' 'TOT' 'NYK' 'MIL' 'DAL'],NBA,PF,81.0,81.0,37.5,7.7,17.9,0.482,1.3,3.6,0.458,7.3,16.6,0.508,0.529,6.1,7.1,0.945,2.7,6.0,8.5,2.0,1.1,1.3,3.2,3.5,21.8,1,35.0,18.0,8.0,5.0,6.0,29.6,['UTAH'],https://www.basketball-reference.com/req/202106291/images/headshots/vanhoke01.jpg,0,0,0,2,1997,
0,Marcus Vinicius,2006-07,22.0,['NOK' 'NOH'],NBA,SF,13.0,0.0,7.9,0.7,1.5,0.467,0.4,0.9,0.429,0.3,0.6,0.5,0.575,0.4,0.8,0.714,0.2,0.7,0.8,0.4,0.2,0.1,0.5,0.8,2.2,0,7.0,4.0,2.0,1.0,1.0,6.7,,,0,0,0,13,2006,
