,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,STL,"Career high, Steals",Triple-Doubles,"Career high, Blocks","Career high, Game Score"
0,Elnardo Webster,1971-72,23.0,['TOT' 'NYA' 'MMP'],ABA,SF,24.0,,13.9,2.9,6.4,0.5,0.1,0.3,0.25,2.9,6.2,0.5,0.5,1.3,1.7,0.778,0.9,1.8,2.7,0.9,,2.1,2.3,7.3,1,26.0,6.0,2.0,['STPETERS'],,0,0,0,11,1969,,,,,
0,Art Williams,1967-68,28.0,['SDR' 'BOS' 'SDA'],NBA,PG,81.0,,25.2,3.4,9.1,0.667,0.0,0.0,,3.4,9.1,0.667,0.667,1.4,2.1,0.844,0.4,1.4,4.6,6.6,0.0,1.4,3.0,8.1,0,27.0,15.0,22.0,,,0,1,0,,,1.0,3.0,5.0,,
0,Kenny Walker,1986-87,22.0,['NYK' 'WSB'],NBA,SF,82.0,64.0,26.1,4.2,8.9,0.531,0.1,0.3,0.4,4.2,8.9,0.533,0.534,2.1,2.7,0.78,2.3,3.2,5.0,1.1,0.8,1.1,3.5,10.4,0,26.0,14.0,5.0,['KENTUCKY'],,0,0,0,5,1986,0.8,5.0,,5.0,25.1
0,Greg Wittman,1969-70,22.0,['DNR' 'TOT' 'FLO' 'TEX'],ABA,PF,50.0,,9.1,1.6,4.1,0.392,0.1,0.3,0.235,1.5,3.7,0.406,0.402,0.8,1.4,0.571,1.0,1.4,2.0,0.3,,0.8,2.8,3.9,1,13.0,6.0,1.0,,,0,0,0,3,1969,,,,,
0,Cornell Warner,1970-71,22.0,['BUF' 'TOT' 'CLE' 'MIL' 'LAL'],NBA,C,81.0,,31.9,3.1,6.8,0.512,,,,,,,,1.3,2.2,1.0,3.0,7.3,10.3,1.6,0.7,,3.5,7.6,1,24.0,20.0,7.0,,,0,0,0,7,1970,0.7,3.0,,4.0,
0,TyTy Washington Jr.,2022-23,21.0,['HOU'],NBA,PG,31.0,2.0,14.0,1.9,5.2,0.363,0.6,2.6,0.238,1.3,2.6,0.488,0.422,0.3,0.6,0.556,0.1,1.4,1.5,1.5,0.1,0.5,0.9,4.7,0,20.0,6.0,6.0,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/washity02.jpg,0,0,0,29,2022,0.5,2.0,,1.0,13.3
0,Joby Wright,1972-73,22.0,['SEA' 'MMT' 'TOT' 'SDS' 'VIR'],NBA,PF,77.0,,15.4,2.6,6.3,0.593,0.0,0.0,,2.6,6.3,0.593,0.593,1.3,2.2,1.0,3.0,1.7,4.7,0.5,0.3,1.3,2.5,6.5,1,20.0,11.0,5.0,['INDIANA'],,0,0,0,5,1972,0.4,2.0,,2.0,2.6
0,Tommy Woods,1967-68,24.0,['KEN'],ABA,PF,18.0,,10.2,0.8,2.4,0.326,0.0,0.1,0.0,0.8,2.3,0.333,0.326,0.8,0.9,0.875,,,3.1,0.2,,0.5,1.4,2.3,0,8.0,10.0,,['ETENNST'],,0,0,0,,,,,,,
0,Mike Wilks,2002-03,23.0,['TOT' 'ATL' 'MIN' 'HOU' 'SAS' 'CLE' 'SEA' 'DEN' 'WAS' 'OKC'],NBA,"PG,SG",48.0,7.0,24.3,1.9,5.4,0.556,0.5,1.1,0.667,1.7,4.3,0.625,0.625,1.9,2.9,1.0,0.6,2.1,2.7,2.8,0.1,1.1,2.5,5.7,1,22.0,8.0,11.0,['RICE'],https://www.basketball-reference.com/req/202106291/images/headshots/wilksmi01.jpg,0,1,0,,,1.1,4.0,,2.0,18.4
0,Delon Wright,2015-16,23.0,['TOR' 'TOT' 'MEM' 'DAL' 'DET' 'SAC' 'ATL' 'WAS'],NBA,PG,77.0,39.0,30.8,4.4,10.2,0.474,1.2,3.1,0.398,3.7,7.2,0.564,0.545,2.5,3.4,0.869,1.2,4.3,5.4,5.3,0.6,1.5,1.9,12.2,1,28.0,13.0,14.0,['UTAH'],https://www.basketball-reference.com/req/202106291/images/headshots/wrighde01.jpg,0,0,0,20,2015,1.8,6.0,3.0,4.0,31.1
