,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,James Young,2014-15,19.0,['BOS' 'PHI'],NBA,SG,31.0,0.0,10.7,1.2,3.3,0.431,0.5,2.1,0.343,0.6,1.2,0.565,0.534,0.7,1.0,0.667,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.7,3.4,0,13.0,5.0,3.0,3.0,1.0,14.2,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/youngja01.jpg,0,0,0,17,2014,
0,Perry Young,1986-87,23.0,['TOT' 'CHI' 'POR'],NBA,SG,9.0,0.0,13.0,1.0,4.3,0.5,0.0,0.0,,1.0,4.3,0.5,0.5,0.2,0.4,0.5,0.8,1.0,1.8,1.8,1.0,0.3,0.8,2.8,2.0,1,3.0,3.0,3.0,2.0,1.0,1.5,['VATECH'],,0,0,0,14,1985,
0,Joe Young,2015-16,23.0,['IND'],NBA,PG,53.0,1.0,10.5,1.5,4.1,0.43,0.5,1.2,0.379,1.3,3.0,0.458,0.497,0.5,0.6,0.8,0.2,1.1,1.2,1.6,0.4,0.0,0.8,0.7,3.9,0,20.0,8.0,8.0,3.0,1.0,16.4,['HOUSTON' 'OREGON'],https://www.basketball-reference.com/req/202106291/images/headshots/youngjo01.jpg,0,0,0,13,2015,
0,Omer Yurtseven,2021-22,23.0,['MIA'],NBA,C,56.0,12.0,12.6,2.3,4.4,0.593,0.3,0.8,0.429,2.3,4.2,0.65,0.648,0.7,1.1,0.833,1.5,3.7,5.3,0.9,0.3,0.4,0.7,1.8,5.3,0,22.0,17.0,8.0,3.0,2.0,20.5,['NCSTATE' 'GEORGETOWN'],https://www.basketball-reference.com/req/202106291/images/headshots/yurtsom01.jpg,0,0,0,,,
0,Barry Yates,1971-72,26.0,['PHI'],NBA,PF,24.0,,6.0,1.3,3.5,0.373,,,,,,,,0.3,0.5,0.636,,,1.7,0.3,,,,0.6,2.9,0,9.0,7.0,2.0,,,,['MARYLAND'],,0,0,0,12,1971,
0,Thaddeus Young,2007-08,19.0,['PHI' 'TOT' 'MIN' 'BRK' 'IND' 'CHI' 'SAS' 'TOR'],NBA,PF,82.0,81.0,34.6,7.4,16.2,0.578,1.2,3.7,0.395,6.7,12.8,0.622,0.578,2.1,2.9,0.771,2.5,6.6,9.0,4.3,2.1,0.7,2.1,2.7,17.9,1,32.0,16.0,11.0,8.0,4.0,32.0,['GATECH'],https://www.basketball-reference.com/req/202106291/images/headshots/youngth01.jpg,0,0,0,12,2007,
0,Tim Young,1999-00,23.0,['GSW'],NBA,C,25.0,0.0,5.5,0.5,1.6,0.333,0.0,0.0,,0.5,1.6,0.333,0.333,1.1,1.4,0.778,0.5,0.9,1.4,0.2,0.1,0.0,0.4,0.7,2.2,0,6.0,6.0,2.0,1.0,1.0,5.9,['STANFORD'],,0,0,0,27,1999,
0,Danny Young,1984-85,22.0,['SEA' 'POR' 'TOT' 'LAC' 'DET' 'MIL'],NBA,PG,82.0,29.0,23.2,2.8,5.5,0.529,0.7,1.7,0.417,2.5,4.6,0.8,0.676,1.1,1.4,1.0,0.4,1.2,1.5,4.8,1.3,0.1,1.2,1.4,6.9,1,21.0,6.0,13.0,6.0,2.0,24.3,['WAKE'],,0,0,0,15,1984,
0,Rich Yonakor,1980-81,22.0,['SAS'],Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),10.0,0.0,7.0,1.4,2.6,0.538,0.0,0.0,,1.4,2.6,0.538,0.538,0.5,0.7,0.714,1.3,1.4,2.7,0.3,0.1,0.2,0.2,0.7,3.3,0,11.0,10.0,1.0,1.0,2.0,4.0,['UNC'],,0,0,0,15,1980,
0,Charlie Yelverton,1971-72,23.0,['POR'],NBA,SG,69.0,,17.8,3.0,7.7,0.389,,,,,,,,1.9,2.7,0.707,,,2.9,1.2,,,,2.1,7.9,0,24.0,10.0,6.0,,,,['FORDHAM'],,0,0,0,8,1971,
0,Trae Young,2018-19,20.0,['ATL'],NBA,PG,81.0,81.0,35.3,9.4,20.8,0.46,3.4,9.5,0.382,6.3,12.7,0.512,0.536,8.0,9.3,0.904,0.8,3.7,4.3,10.2,1.1,0.2,4.8,1.8,29.6,0,56.0,13.0,20.0,5.0,2.0,51.6,['OKLAHOMA'],https://www.basketball-reference.com/req/202106291/images/headshots/youngtr01.jpg,2,0,0,5,2018,3.0
0,Sun Yue,2008-09,23.0,['LAL'],NBA,SG,10.0,0.0,2.8,0.3,1.1,0.273,0.0,0.6,0.0,0.3,0.5,0.6,0.273,0.0,0.0,,0.0,0.0,0.0,0.2,0.1,0.1,0.3,1.0,0.6,0,4.0,,2.0,1.0,1.0,1.0,,,0,1,0,10,2007,
0,Guerschon Yabusele,2017-18,22.0,['BOS'],NBA,PF,41.0,4.0,7.1,0.9,1.9,0.455,0.4,1.1,0.324,0.6,1.2,0.583,0.525,0.5,0.7,0.682,0.6,1.1,1.6,0.5,0.2,0.2,0.4,0.8,2.4,0,16.0,6.0,5.0,2.0,2.0,16.3,,https://www.basketball-reference.com/req/202106291/images/headshots/yabusgu01.jpg,0,0,0,16,2016,
0,Nick Young,2007-08,22.0,['WAS' 'TOT' 'LAC' 'PHI' 'LAL' 'GSW' 'DEN'],NBA,SG,82.0,60.0,31.8,6.4,14.8,0.444,2.8,7.0,0.406,4.8,10.4,0.481,0.564,3.7,4.5,0.892,0.5,2.3,2.7,1.5,0.8,0.3,1.5,2.4,17.9,1,43.0,9.0,6.0,4.0,2.0,33.1,['USC'],https://www.basketball-reference.com/req/202106291/images/headshots/youngni01.jpg,0,1,0,16,2007,
0,Michael Young,1984-85,24.0,['PHO' 'PHI' 'LAC'],NBA,SF,45.0,2.0,10.2,2.0,4.3,0.474,0.2,0.6,0.308,1.9,3.7,0.5,0.495,0.6,0.8,0.711,0.8,1.1,1.9,0.5,0.6,0.1,0.3,1.0,4.9,0,27.0,14.0,4.0,5.0,1.0,27.1,['HOUSTON'],,0,0,0,24,1984,
0,Sam Young,2009-10,24.0,['MEM' 'TOT' 'PHI' 'IND'],NBA,SF,80.0,46.0,20.2,3.0,6.3,0.472,0.4,0.9,0.625,2.8,5.7,0.486,0.489,1.7,2.2,0.833,1.0,1.9,2.5,0.9,0.9,0.3,1.2,1.5,7.4,1,22.0,9.0,6.0,4.0,4.0,20.8,['PITT'],https://www.basketball-reference.com/req/202106291/images/headshots/youngsa01.jpg,0,0,0,6,2009,
0,Vincent Yarbrough,2002-03,21.0,['DEN'],NBA,SG,59.0,39.0,23.4,2.8,7.3,0.393,0.4,1.3,0.269,2.5,5.9,0.42,0.417,0.8,1.1,0.79,0.6,2.1,2.7,2.2,1.0,0.6,1.4,2.5,6.9,0,18.0,9.0,8.0,3.0,3.0,16.5,['TENNESSEE'],,0,0,0,4,2002,
0,George Yardley,1953-54,25.0,['FTW' 'DET' 'TOT' 'SYR'],NBA,SF,73.0,,39.5,9.3,22.6,0.482,,,,,,,,9.1,11.2,0.816,,,10.7,2.2,,,,3.4,27.8,1,52.0,27.0,7.0,,,,['STANFORD'],https://www.basketball-reference.com/req/202106291/images/headshots/yardlge01.jpg,6,0,0,8,1950,
0,Gabe York,2021-22,28.0,['IND'],NBA,SG,3.0,0.0,18.7,2.7,7.0,0.381,2.0,6.0,0.333,0.7,1.0,1.0,0.524,1.5,2.5,1.0,0.0,2.0,2.0,2.0,1.0,0.5,0.5,2.0,8.0,0,9.0,5.0,3.0,2.0,1.0,7.7,['ARIZONA'],,0,0,0,,,
0,Korleone Young,1998-99,20.0,['DET'],NBA,SF,3.0,0.0,5.0,1.7,3.3,0.5,0.3,1.3,0.25,1.3,2.0,0.667,0.55,0.7,0.7,1.0,0.7,0.7,1.3,0.3,0.0,0.0,0.3,1.0,4.3,0,5.0,2.0,1.0,,,3.7,,,0,0,0,11,1998,
0,Wayne Yates,1961-62,24.0,['LAL'],NBA,C,37.0,,7.1,0.8,2.8,0.295,,,,,,,,0.3,0.6,0.455,,,2.5,0.4,,,,1.9,1.9,0,7.0,9.0,1.0,,,,['NMSTATE' 'MEMPHIS'],,0,0,0,5,1961,
