,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,Triple-Doubles
0,Phil Zevenbergen,1987-88,23.0,['SAS'],NBA,C,8.0,0.0,7.3,1.9,3.4,0.556,0.0,0.0,,1.9,3.4,0.556,0.556,0.0,0.3,0.0,0.5,1.1,1.6,0.4,0.4,0.1,0.5,1.5,3.8,0,8.0,5.0,1.0,2.0,1.0,8.9,['SEATTLEPAC' 'WASHINGTON'],,0,0,0,4,1987,
0,Ivica Zubac,2016-17,19.0,['LAL' 'TOT' 'LAC'],NBA,C,76.0,76.0,28.6,4.3,7.2,0.652,0.0,0.1,0.25,4.3,7.2,0.656,0.654,2.2,3.1,0.864,3.1,6.8,9.9,1.6,0.5,1.3,1.5,2.9,10.8,1,32.0,29.0,7.0,3.0,7.0,35.0,,https://www.basketball-reference.com/req/202106291/images/headshots/zubaciv01.jpg,0,0,0,2,2016,
0,Matt Zunic,1948-49,29.0,['WSC'],BAA,,56.0,,,1.8,5.8,0.303,,,,,,,,1.4,1.9,0.706,,,,0.9,,,,3.3,4.9,0,14.0,,2.0,,,,,,0,0,0,,1947,
0,Luke Zeller,2012-13,25.0,['PHO'],NBA,C,16.0,0.0,3.6,0.6,1.6,0.346,0.1,0.3,0.2,0.5,1.3,0.381,0.365,0.0,0.0,,0.1,0.6,0.6,0.2,0.0,0.0,0.0,0.3,1.2,0,7.0,4.0,3.0,,,6.4,['NOTREDAME'],https://www.basketball-reference.com/req/202106291/images/headshots/zellelu01.jpg,0,0,0,,,
0,Dave Zeller,1961-62,22.0,['CIN'],NBA,PG,61.0,,4.6,0.6,1.7,0.353,,,,,,,,0.3,0.4,0.75,,,0.4,1.0,,,,0.6,1.5,0,13.0,3.0,5.0,,,,['MIAMIOH'],,0,0,0,2,1961,
0,Max Zaslofsky,1946-47,21.0,['CHS' 'NYK' 'TOT' 'BLB' 'MLH' 'FTW'],BAA,SG,70.0,,38.0,7.8,24.1,0.384,,,,,,,,6.0,7.8,0.857,,,3.9,3.0,,,,2.8,21.0,1,40.0,9.0,7.0,,,,['STJOHNS'],,1,0,0,,,
0,Jim Zoet,1982-83,29.0,['DET'],NBA,C,7.0,0.0,4.3,0.1,0.7,0.2,0.0,0.0,,0.1,0.7,0.2,0.2,0.0,0.0,,0.4,0.7,1.1,0.1,0.1,0.4,0.6,1.3,0.3,0,2.0,3.0,1.0,1.0,3.0,1.0,['KENTST'],,0,0,0,,,
0,Tyler Zeller,2012-13,23.0,['CLE' 'BOS' 'TOT' 'BRK' 'MIL' 'ATL' 'MEM' 'SAS'],NBA,C,82.0,59.0,26.4,4.1,7.5,0.59,0.2,0.6,0.385,4.1,7.5,0.602,0.59,3.5,4.5,0.895,2.3,3.9,5.7,1.4,0.5,0.9,1.2,4.0,11.5,1,26.0,15.0,6.0,3.0,4.0,25.4,['UNC'],https://www.basketball-reference.com/req/202106291/images/headshots/zellety01.jpg,0,0,0,17,2012,
0,Zeke Zawoluk,1952-53,22.0,['INO' 'PHW'],NBA,PF,71.0,,25.3,2.9,7.6,0.376,,,,,,,,2.6,3.2,0.809,,,4.6,1.4,,,,3.1,8.3,0,27.0,10.0,5.0,,,,['STJOHNS'],,0,0,0,,1952,
0,Stephen Zimmerman,2016-17,20.0,['ORL'],NBA,C,19.0,0.0,5.7,0.5,1.6,0.323,0.0,0.0,,0.5,1.6,0.323,0.323,0.2,0.3,0.6,0.6,1.3,1.8,0.2,0.1,0.3,0.2,0.9,1.2,0,6.0,5.0,1.0,1.0,2.0,6.7,['UNLV'],https://www.basketball-reference.com/req/202106291/images/headshots/zimmest01.jpg,0,0,0,11,2016,
